title,rel_year,director,producer,studio,prc,cat,award,lc
Sweethearts on Parade,1930,Neilan,A.Korda,First National,bnw,romt,H**,Flanders csd> home school
The Good Earth,1937,S.Franklin,Irving Thalberg,MGM,bnw,dram,H***,Flanders csd> home school csd
The Three Godfathers,1916,LeSaint,Irving Thalberg,Universal,bnw,west,H***,Flanders csd> home school csd
Craig\'s Wife,1928,W.DeMille,Irving Thalberg,Paramount,bnw,romt,H***,Flanders csd> home school csd
Il processo Clemenceau,1917,deAntoni,Irving Thalberg,Ceasar,bnw,dram,H***,Flanders csd> home school csd
The Adventures of Sherlock Holmes,1939,Werker,D.Markey,Fox,bnw,dram,H***,London city
Streamlined Swing,1938,B.Keaton,B.Keaton,Metro-Goldwyn,bnw,,H***,London city afterlife csd theater sea public
Cenere,1917,Mari,Arturo Ambrosio,Ambrosio,bnw,dram,H***,London city afterlife csd theater sea public
Blood on the Sun,1945,F.Lloyd,William Cagney,Cagney,bnw,actn,H*,Tokyo city
Papa\\\'s Delicate Condition,1963,Geo.Marshall,Jack Rose,Paramount,tcol,,,Restful town home town
Feet First,1930,H.Lloyd,Jack Rose,Paramount,bnw,,,Restful town home town school
Seven Women,1966,J.Ford,Bernard~Smith,MGM,mcol,dram,H*,Fiji island
Our Little Girl,1935,Robertson,Edward Butcher,Fox,bnw,horr,H*,Fiji island csd
Amelita\'s Friend,1917,Baldwin,Edward Butcher,Universal,sbw,horr,H*,Fiji island csd
Dressed to Kill,1946,R.W.Neill,Howard Benedict,Universal,bnw,susp,H*,London city
The Three Godfathers,1936,Boleslawski,J.Mankiewicz,MGM,tcol,west,,Hollywood town theater
The Fleet\'s In,1942,Schertzinger,Paul Jones,Paramount,bnw,,H**,Navajo reservation csd
The Mask of Fu Manchu,1932,Brabin,Thalberg,MGM,bnw,,H**,Navajo reservation csd
Queen Kelly,1928,vonStroheim,Thalberg,Paramount,bnw,dram,H**,S.F. city
The Mysterious Lady,1928,Niblo,S.Goldwyn,MGM,bnw,dram,,L.A. town
Oh You Beautiful Doll,1949,Stahl,William A. Bacher,Fox,tcol,dram,,NYC city city csd
Song of Songs,1918,J.Kaufman,William A. Bacher,Paramount,bnw,dram,,NYC city city csd
War and Peace,1956,K.Vidor,Carlo Ponti,DeLaurentiis,tcol,biop,AAN,Paris city csd town work town
The Devil Doll,1936,T.Browning,E.J. Mannix,MGM,bnw,horr,H*,Paris city csd town work town am.park
A Touch of Venus,1948,Seiter,Howard Benedict,Universal,bnw,romt,,Macy\\\'s work
Cairo,1942,VanDyke,J.Mankiewicz,MGM,bnw,dram,H*,Cairo city
Blind Man\\\'s Bluff,1936,Albert~Parker,J.Mankiewicz,British Fox,bnw,dram,,Cairo city
The Adventures of Huckleberry Finn,1960,Curtiz,Greenhut,MGM,mcol,advt,H*,Yale school home town sea hotel mil.inst
No No Nanette,1930,Badger,B.P. Schulberg,Warners,tcol,romt,,Champs Elysees city
The Mystery of the Yellow Room,1919,Chautard,Paramount,Warners,bnw,,,Champs Elysees city
Die Tausend Augen des Dr.~Mabuse,1960,F.Lang,Robert Arthur,Columbia,bnw,susp,H**,London csd csd city school
Tabu,1931,F.W.Murnau,Flaherty,Fox,bnw,romt,H**,Tahiti island
General Spanky,1936,Newmeyer,Roach,Fox,sbw,,H***,Tahiti island work
Some Like It Hot,1939,Archainbaud,William C. Thomas,Paramount,bnw,,,Tahiti island work school airplane am.park
The Kansan,1943,Fitzmaurice,Louis D. Lighton,MGM,bnw,dram,H*,London city city
Murder in the Private Car,1934,H.Beaumont,Hubbard,MGM,bnw,susp,H*,Chicago city train
The Call of Youth,1920,H.Ford,Hubbard,FPL,bnw,dram,H*,Chicago city train
Pot-Boullie,1957,Duvivier,A.Korda,London,bnw,romt,H*,Paris city
The Great Awakening,1941,Schunzel,A.Korda,UFA,bnw,dram,,Hamburg city
The Lovable Cheat,1949,R.Oswald,A.Korda,UFA,bnw,,,Hamburg city
The Hands of Orlac,1924,Wiene,Erich Pommer,Decla-Bioscoop,bnw,horr,H***,Hamburg city hospital
Angels in the Outfield,1952,Cl.Brown,Cl.Brown,MGM,bnw,romt,,Oxford town sports
Ordet,1955,Dreyer,Nicholas DeGunzburg,Palladium ,bnw,dram,H***,Courtempierre town csd estate
Kisses for My President,1964,Bernhardt,Bernhardt,Warners,bnw,,,Washington city
Moonrise,1949,Borzage,S.Franklin,MGM,bnw,dram,H**,NYC city jail
Just William,1927,Cutts,Balcon,ATP,sbw,,H**,NYC city jail
Peddlin\' in Society,1946,Righelli,Balcon,Pert-Pittalunga,bnw,romt,H**,NYC city jail
The Saphead,1921,Blanche,Balcon,Pert-Pittalunga,bnw,,H**,NYC city
The Man Who Wouldn\\\'t Talk,1957,H.Wilcox,H.Wilcox,British Lion,bnw,dram,,London city estate
Holt of the Secret Sevice,1942,Horne,Stan Laurel,Columbia,bnw,,,London city estate desert csd
L\\\'innodation,1924,Delluc,Stan Laurel,Columbia,bnw,,,London city estate desert csd
Narayana,1920,L.Poirier,Stan Laurel,Columbia,bnw,,,Cote resort
Elephant Boy,1937,R.Flaherty,Alexander Korda,Gainsborough,bnw,docu,H**,Safune island island
Ambush,1950,S.Wood,Jack Cummins,RKO,col,biop,,Paris city
Joan of Arc,1948,V.Fleming,Wanger,MGM,tcol,dram,,Monterey town
Animal Crackers,1930,Heerman,Wanger,Paramount ,bnw,,H***,Rittenhouse manor estate
Within Our Gates,1920,UnYear20,Wanger,Paramount ,bnw,,,Rittenhouse manor estate
The Constant Nymph,1927,Brunel,Balcon,Islington,bnw,romt,H*,Rittenhouse manor estate csd
L\'Uomo Meccanico,1921,Deed,Balcon,Milano,bnw,romt,H*,Rittenhouse manor estate csd
Speak Easily,1932,Sedgwick,Lawrence Weingarten,MGM,bnw,,H***,NYC city
The Sky\\\'s the Limit,1943,E.H.Griffith,Edward H. Griffith,RKO,bnw,,,NYC city bar
dadascope,1961,Richter,Edward H. Griffith,RKO,bnw,,,NYC city bar
The Red Dragon,1945,Rosen,Edward H. Griffith,Monogram,bnw,,,Washington city
The Man Who Made Diamonds,1937,R.Ince,Irving Asher,Warners,bnw,susp,,Washington city casino csd
Camille,1921,Smallwood,Irving Asher,Warners,bnw,dram,,Washington city casino csd
Love in Morocco,1933,Rex~Ingram,Irving Asher,Warners,sbw ,dram,,Washington city casino csd
Nothing But Trouble,1945,Sam~Taylor,B.F. Ziedman,MGM,bnw,,,Washington city casino csd
The Bedbug,1929,Mayakowski,B.F. Ziedman,MGM,bnw,,,Washington city casino csd
The Great Impersonation,1921,UnYear21,B.F. Ziedman,MGM,bnw,,,Washington city casino csd
Salome,1922,C.Bryant,B.F. Ziedman,MGM,bnw,dram,,Washington city casino csd
Emperor Jones,1933,D.Murphy,Fernand Leger,MGM,bnw,,,Washington city casino csd
Doctor Jack,1922,Newmeyer,Fernand Leger,MGM,bnw,,,Washington city casino csd
Le Tempestaire,1947,J.Epstein,Fernand Leger,Gaumont,bnw,horr,,Washington city casino csd
Ergens in Nederland,1937,Berger,Rudolf Meyer,Cinetone,bnw,dram,,Washington city casino csd
Pastor Hall,1939,Se.Hicks,Rudolf Meyer,Cinetone,bnw,dram,,Washington city casino csd
Too Many Husbands,1938,Ruggles,Ruggles,Columbia,bnw,romt,H**,Paris city town
Scampolo,1928,Genina,Ruggles,Nero,bnw,,H**,Paris city town
The Great Impersonation,1935,Crosland,Edmund Grainger,Universal,bnw,advt,H*,Chinatown; S.F. city
None so Blind,1923,B.King,Edmund Grainger,Universal,bnw,advt,H*,Chinatown; S.F. city
Daniel Boone,1923,Mitchell,Edmund Grainger,Chronicles of America,bnw,biop,H*,Chinatown; S.F. city
Tarzan the Fearless,1933,G.Hill,Sol Lesser,Principal,bnw,dram,H*,Chinatown; S.F. city jail
"M\""adchen in Uniform",1957,G.W.Pabst,Sofar,Germany,bnw,docu,H**,London city wwork work
Pagliacci,1935,Grune,Sofar,Germany,bnw,docu,,London city wwork work
Streets of Shame,1956,Mizoguchi,Sofar,Germany,col,dram,,Kyoto city town town
L\\\'Etoile de mer,1929,Man~Ray,Sofar,Germany,col,dram,,Kyoto city town town
Les Belles de Nuit,1952,Clair,Clair,AYJM,bnw,dram,H***,Casario palace island
Tomboy,1940,McGowan,McGowan,Monogram,bnw,romt,H***,Casario palace island csd school csd
The Cat Creeps,1930,Julian,Laemle~jr,Universal,bnw,horr,H***,Paris city
Rage at Dawn,1955,Whelan,Robert Fellows,RKO,bnw,dram,H*,NYC city resort town hotel
Bela Lugosi Meets a Brooklyn Gorilla,1952,Beaudine,Jack Broder,Monogram,bnw,,,NYC city resort town hotel
Breaking into Society,1923,Stromberg,Stromberg,Monogram,bnw,,,NYC city resort town hotel
The Track of the Cat,1954,Wellman,Wayne-Fellows,Batjac,wcol,advt,AAN,London city mil.inst csd airplane
The Perfect Crime,1928,Worsley,Wayne-Fellows,Universal,bnw,cnr,H**,London city mil.inst csd airplane
Gold Diggers,1923,UnYear23,Wayne-Fellows,Universal,bnw,musc,H**,London city mil.inst csd airplane
Janice Meredith,1924,E.Hopper,Wayne-Fellows,MGM,bnw,dram,,London city mil.inst csd airplane
Emil und die Detective,1931,Lamprecht,Wayne-Fellows,Lamprecht Film,bnw,advt,,Berlin slum
Le ballet mechanique,1924,F.Leger,Wayne-Fellows,Lamprecht Film,bnw,advt,,Berlin slum
Le Petit Theatre de Jean Renoir,1969,J.Renoir,Valentine Brosio,Warners,col,romt,,Paris city
The Man Who Laughs,1928,Leni,Valentine Brosio,Universal,bnw,susp,H***,Paris city
Du Barry; Woman of Passion,1930,S.E.V.Taylor,Selznick,Aetna,bnw,dram,H***,Paris city
Ivan the Terrible; part III,1946,Eisenstein,Eisenstein,Mosfilm,prc,biop,,Moscow city
Catherine,1924,Dieudonne,J.Renoir,Mosfilm,prc,biop,,Moscow city
Lily of the Dust,1924,Buchowetzski,J.Renoir,Paramount,bnw,romt,,Moscow city
Johnny Come Lately,1943,W.K.Howard,Wanger,Pendennis,bnw,dram,,Moscow city
Follow the Boys,1944,A.E.Sutherland,Charlie~Feldman,Universal,bnw,musc,H*,Moscow city river island mil.inst.
A Chump at Oxford,1939,A.Goulding,H.Roach,Universal,bnw,,H**,Oxford town
Unknown,1925,Fanck,H.Roach,Universal,bnw,actn,H**,Oxford town
The Travelling Saleswoman,1950,Ch.Reisner,George Haight,MGM,bnw,,H*,Mississippi river river store
The World of Abbott and Costello,1965,Lamont,Milton Subotsky,Universal,bnw,,H*,Paris city
Vaudeville,1925,Dupont,Milton Subotsky,UFA,bnw,dram,H**,Paris city
We\\\'re not Married,1952,E.Goulding,Nunally~J.,Fox,bnw,musc,,NYC city
There\\\'s Always Tomorrow,1934,Sloman,Nunally~J.,MGM,bnw,dram,,NYC city
The Primrose Path,1940,LaCava,LaCava,RKO,bnw,,,NYC city
Blockheads,1938,Blystone,Stan Laurel,Great National,bnw,,H***,NYC city work
Double Dynamite,1951,I.Cummings,Cummings,RKO,bnw,,,Hollywood town bar
Parisian Love,1925,Gasnier,B.P. Schulberg,Paramount,bnw,romt,,Paris city
Ocean\'s Eleven,1960,Milesstone,Milestone,Warners,tcol,cnr,H*,Paris csd city sea resort
The Torrent,1925,Mo.Bell,Hunt Stromberg,MGM,bnw,dram,H*,Paris city
Too many Kisses,1925,Sloane,Hunt Stromberg,Paramount,bnw,,H*,Paris city
Jet Pilot,1957,Sternberg,H.Hughes,Arnold Productions,tcol,dram,H***,Shanghai city city airplane
Hill 24 Doesn\'t Answer,1955,Dickinson,Sidney Cole,Ealing,bnw,susp,H*,London city
The Liberation of L.B. Jones,1970,Wyler,Ronald Lubin ,Columbia,tcol,susp,H*,NYC city
Yerma,1962,Cavalcanti,Michael Balcon,Ealing,bnw,,,London city
Angel On My Shoulder,1946,Mayo,Charles R. Rogers,U.A.,bnw,,H**,Casablanca city
Men Agains Speed,1958,Rogell,Burt Kelly,Universal,bnw,actn,H*,Casablanca city work ship train train home afterlife
Mighty Joe Young,1949,Schoedsack,M.C.Cooper,RKO,bnw,advt,H****,NYC island city island csd school
Our Mr.Sun,1947,Capra,Frank Sinatra,CBS,tv,s.f.,H*,NYC city
Jealousy,1945,Machaty,Machaty ,Republic,bnw,dram,H*,NYC city csd
Maciste in Hell,1926,Brignone,Machaty ,FertPittalunga,bnw,actn,H*,NYC city csd
Rio Lobo,1970,Hawks,Hawks,Paramount,col,west,H*,Paris ship city
The French Line,1954,Bacon,Edmund Granger,RKO,col,,H*,Paris csd ship city
The Journalist,1927,Kuleshov,Edmund Granger,RKO,bnw,,H*,Yukon csd
Glorifying the American Girl,1929,M.Webb,Ziegfeld,RKO,tcol,musc,H*,Yukon csd sea
The Show-Off,1926,StClair,Ziegfeld,Paramount,bnw,,H*,Yukon csd sea
The Bat,1926,R.West,Ziegfeld,Paramount,bnw,,H*,Yukon csd sea
The Bridge of San Luis Rey,1944,R.V.Lee,Small,U.A.,bnw,advt,H*,Frankenstein palace
The Spider\\\'s Web,1938,Ray~Taylor,Small,Columbia,bnw,susp,,Frankenstein palace
General Suorov,1941,Pudovkin,Small,Columbia,bnw,dram,,Frankenstein palace
Magic Fire,1956,Dieterle,Irving Asher,Paramount,tcol,musc,H*,Las Vegas city city town csd
Lili Marlene,1927,Unknown55,Irving Asher,Paramount,tcol,musc,H*,Las Vegas city city town csd
The Noose,1927,Jacobson,Irving Asher,Paramount?,sbw ,musc,H*,Las Vegas city city town csd
Moskow In October,1927,Barret,Irving Asher,Paramount?,bnw,musc,H*,Las Vegas city city town csd
Robinson Crusoe on Mars,1964,Haskin,Pal,Paramount,tcol,s.f.,H*,New Orleans city space
The Man on The Flying Trapeze,1935,Bruckman,Harold Lloyd,Republic,bnw,,H**,New Orleans city space csd sports movies
Calamity Jane,1953,D.Butler,William Jacobs,England,tcol,musc,,Las Vegas city museum
Dance Girl Dance,1940,Arzner,Berman,RKO,bnw,musc,H*,NYC city
The Moonraker,1958,D.MacDonald,Hamilton Inglis,ABPC,col,advt,H*,NYC city town palace sea bar
In the Line of Fire,1941,Vertov,Hamilton Inglis,ABPC,col,dram,H*,NYC city town palace sea bar
Hell on Frisco Bay,1955,Tuttle,Richard. M. Blumenthal,Fox,bnw,,,S.F. city
Topaze,1933,DArrast,Selznick,Paramount-Publix,bnw,,H*,NYC city
The Trap,1947,Bretherton,Selznick,Monogram,bnw,,,NYC city
The Shamrock and the Rose,1927,J.Nelson,Selznick,Monogram,bnw,,,NYC city
Tales of Robin Hood,1952,Tinling,Wurtzel,Fox,bnw,advt,,Shanghai city csd casino
Flight for Freedom,1943,L.Mendes,A.Korda,US,bnw,actn,H**,Shanghai city csd casino airplane
Something for the Boys,1944,Seiler,Irving Starr,Fox,tcol,musc,,Pittsburgh city csd
La Sir\`ene des Tropiques,1927,DeKobra,Irving Starr,Fox,tcol,musc,,Pittsburgh city csd
The Devil at Four o\\\'clock,1960,M.LeRoy,Fred Kohlmar,Columbia,ecol,dram,,NYC city csd town island
Where Beauty Lies,1962,Florey,Hitchcock,Shamley,tv,susp,H*,Hollywood town town town town
Man Alive,1945,Enright,Frank Lloyd,RKO,bnw,dram,,NYC city csd
Sinbad the Sailor,1946,Ri.Wallace,Stephen Ames,RKO,tcol,advt,,Arabia
The Duchess of Idaho,1950,Leonard,Joe Pasternak,MGM,tcol,musc,,Sun Valley town
Speedy,1928,T.Wilde,Joe Pasternak,MGM,tcol,,,NYC city
Evergreen,1934,V.Saville,V.Saville,Gainsborough,bnw,dram,H***,NYC city mil.inst. train
Berlin: die Symphonie einer Grossstadt,1927,Ruttmann,V.Saville,Fox-Europa,bnw,docu,H***,Berlin city
The Green Hat,1928,Arlen,V.Saville,Fox-Europa,bnw,docu,H***,Berlin city
Snowwhite and the Three Stooges,1961,W.Lang,Charles Wick,Fox,deluxe,,H*,Paris city
L\'Arp\`ete,1928,Donatien,Charles Wick,Fox,deluxe,,H*,Paris city
Early Autumn,1962,Ozu,Charles Wick,Shochiku,col,dram,,Tokyo city csd
The VIPs,1963,Asquith,Anatole deGrunwald,MGM,mcol,dram,H**,London city public
Donovan\'s Brain,1953,Feist,Tom Gries,U.A.,bnw,horr,H*,London city public csd
Figaro,1928,Ravel,Tom Gries,U.A.,bnw,dram,H*,London city public csd palace
Number Seventeen,1928,Bolvary,Tom Gries,U.A.,bnw,susp,H*,London city public csd palace train
Castle in the Desert,1942,Lachman,Tom Gries,Fox,bnw,,H*,NYC city
The Chaser,1928,Langdon,Tom Gries,Fox,bnw,,H*,NYC city
Tarzan the Tiger,1928,McRae,Tom Gries,Universal,bnw,advt,,NYC city
Day Dreams,1934,Montagu,Tom Gries,Universal,bnw,,,NYC city
Cet obscur objet du d\\'esir,1977,Bunuel,Serge Silberman,Greenwich,col,,H*,NYC city csd csd public
Okinawa,1952,Jason,Albert J. Cohen,Eagle Lion,bnw,,,NYC city
Daughter of the Storm,1954,Lindtberg,Albert J. Cohen,Eagle Lion,bnw,advt,Baer,NYC city mountains
Mysterious Island,1929,Hubbard,Albert J. Cohen,MGM,tcol,s.f.,H*,NYC city mountains csd island
The Red Tent,1969,Kalatozov,Albert J. Cohen,MGM,tcol,s.f.,H*,NYC city mountains csd island
Speedway,1967,Taurog,Wallis,Paramount,col,musc,,Palm Springs town
Jailhouse Rock,1957,R.Thorpe,E.Jack Newman,MGM,col,musc,,Damascus city
The Delta Factor,1970,Garnett,Robert Fellows,Paramount,tcol,,H*,Croydon  theater public ship bar school
It\'s that Man Again,1942,W.Forde,Edward Black,Gainsborough,bnw,,H**,British museum train museum train csd
The Three Caballeros,1945,Disney,Norman Ferguson,Disney,tcol,,H***,British museum train museum train csd
Life in Blossom,1947,Dovzhenko,Norman Ferguson,Ukrainfilm,bnw,actn,H**,Siberia csd
The Informer,1929,Robinson,Norman Ferguson,BIP,bnw,actn,H**,Siberia csd
Rhodes of Africa,1931,Viertel,Norman Ferguson,Paramount,bnw,biop,,Siberia csd
So ist das Leben,1929,Junghans,Junghans,Paramount,bnw,dram,,Prague city
Ramona,1929,Gaziadis,Junghans,Paramount,bnw,dram,,Prague city
Der Teufelsreporter,1929,E.Laemmle,Junghans,Paramount,bnw,dram,,Prague city
Bulldog Drummond,1929,F.R.Jones,S.Goldwyn,U.A.,bnw,advt,H*,Prague city hospital
