title,rel_year,dir_name,prod_name,studio_name,prc,cat,award,location,movie_id
Romeo and Juliet,1908,,,,sbw,romt,,,Z0220
Romeo and Juliet,1908,,,,sbw,romt,,,Z0230
Romeo and Juliet,1911,,,,sbw,romt,,,Z0240
Romeo and Juliet,1911,,,,sbw,romt,,,Z0250
Romeo and Juliet,1916,,,,sbw,romt,,,Z0260
Romeo and Juliet,1916,,,,sbw,romt,,,Z0270
Le Binetoscope,1909,Cohl,,Gaumont,,cart,,,EiC10
Marin Valiero; Doge of Venice,1909,deLiguoro,,SaffiComerio,sbw,hist,,Venice,GdL10
The Pilgrim's Progress,1912,Caserini,,Ambrosio,sbw,dram,,,MCs2
Macbeth,1913,,,Cines,sbw,dram,,,MCs3
Love Everlasting,1913,,,Artistica Gloria,sbw,dram,,Paris,MCs10
Gertie the Dino,1909,Mackay,,,sbw,cart,,,WMk10
All on Account of Milk,1910,F.Powell,,Biograph,sbw,romt,,,FkP10
The Merchant of Venice,1910,loSavio,,Film d'Arte Italia,sbw,dram,,Venice,GlS10
Life of Moses,1910,Blackton,,Vitagraph,col,biop,,,ISB10
The Old Curiosity Shop,1913,Bentley,,,sbw,dram,,,ThB10
The Old Curiosity Shop,1921,,,,sbw,dram,,,ThB30
Young Woodley,1930,,,,,,,,ThB50
Hobson's Choice,1931,,,BIP ,,dram,,,ThB55
Those Were the Days,1934,,,,,,,,ThB65
The Old Curiosity Shop,1935,,,,bnw,,,,ThB70
Lucky to Me,1939,,,,,,,,ThB80
Salome,1910,Falena,,Film d'Arte Italiana,sbw,dram,,,UgF10
Francesca di Rimini,1911,,,Film d'Art Paris,sbw,romt,,,UgF12
Dante's Inferno,1911,Padovan,,Milano Films,,,,,APv10
Homer's Odyssey,1911,,,Milano Films,,advt,,,APv11
The Vampire Dancer,1911,Blom,,Great Northern,sbw,dram,,,AuB10
L'Enfant de Paris,1913,Perret,,,,,,,LcP15
Clios and Phyletes,1911,Mentasti,,Itala,sbw,,,,OrM10
Little Dove's Romance,1911,Th.Ince,,Bison,sbw,west,,,ThI10
Battle of the Red Men,1912,,,Bison,sbw,west,H,,ThI18
Custer's Last Fight,1912,,,,sbw,,H,,ThI20
The Death Mask,1914,,Th.Ince,Kay Bee Columbia,sbw,west,,,ThI33
Civilization,1915,,none,Triangle,sbw,fant,H,,ThI40
Human Wreckage,1924,,,,,,H,,ThI60
Custer's Last Fight,1925,,Th.ince,Quality Amusememt Inc.,sbw,west,,,ThI65
The Aviator's Generosity,1911,Gad,,Great Northern,sbw,dram,,,UrG10
A Tale of Two Cities,1911,Humphrey,,,sbw,dram,,,WmH10
Maiden and Men,1912,Dwan,,AMF,sbw,dram,,,ADw5
Their Hero Son,1912,,,AMF,sbw,dram,,,ADw6
Robin Hood,1922,,Fairbanks sr,,sbw,advt,H,,ADw17
The Iron Mask,1922,,Fairbanks sr,U.A.,sbw,advt,,,ADw22
Manhandled,1924,,William leBaron,Paramount,sbw,romt,,,ADw27
Heidi,1937,,R.Griffith,Fox,cld,romt,H,,ADw35
Rebecca of Sunnybrook Farm,1938,,R.Griffith,Fox,bnw,dram,H,,ADw40
Suez,1938,,D.Markey,Fox,bnw,,H,,ADw41
The Three Musketeers,1939,,R.Griffith,Fox,bnw,actn,VIP,,ADw45
Around the World,1943,,Dwan,RKO,bnw,musc,,,ADw52
Sands of Iwo Jima,1949,,Edward Grainger,,,actn,,,ADw60
Cattle Queen of Montana,1954,,Bogeaus,RKO,tcol,west,H,,ADw70
Passion,1954,,Bogeaus,RKO,tcol,west,,,ADw72
Tennessee's Partner,1954,,Bogeaus,RKO,tcol,west,,,ADw75
Pearl of the South Pacific,1955,,Bogeaus,RKO,tcol,advt,,,ADw78
Slightly Scarlet,1956,,,RKO,col,dram,,,ADw80
The Ghost Breaker,1922,A.E.Green,,Paramount,sbw,,,,AEG25
Baby Face,1933,,,,bnw,dram,,,AEG37
I Loved a Woman,1933,,Blanke,Warners,bnw,,H,,AEG39
Dangerous,1935,,Harry Joe Brown,Warners,bnw,dram,H,,AEG41
The Gracie Allen Murder Case,1935,,,,bnw,myst,,,AEG50
The Jolson Story,1946,,Sidney Skolsky,Columbia,tcol,musc,H,,AEG60
The Eddie Cantor Story,1953,,Sidney Skolsky,Warners,tcol,musc,H,,AEG70
Step On It,1922,Conway,,,,,,,JCw16
Bringing Up Father,1928,,,,,comd,,,JCw41
Our Modern Maidens,1929,,,,sbw,romt,,,JCw44
The Unholy Three,1930,,,,,,,,JCw47
Just a Gigolo,1931,,,MGM,bnw,comd,H,,JCw50
Arsene Lupin,1932,,,,,,,,JCw51
Red-headed Woman,1932,,,,,dram,,,JCw53
Viva Villa,1934,,,MGM,bnw,epic,,,JCw57
A Tale of Two Cities,1935,,Selznick,MGM,bnw,dram,VIP,,JCw61
Libeled Lady,1936,,Lawrence Weingarten,MGM,bnw,romt,AAN,,JCw62
Sarasota,1937,,,,,,,,JCw63
A Yank at Oxford,1938,,,,,,,,JCw64
Too Hot To Handle,1938,,,,,,,,JCw65
Lady of the Tropics,1939,,,,,,,,JCw67
Boom Town,1940,,,,,,,,JCw68
Love Crazy,1940,,,,,,,,JCw69
Honky Tonk,1940,,,,,,,,JCw70
Dragon Seed,1944,,,,,,,,JCw73
The Hucksters,1947,,,,,,,,JCw75
Comedy of the absurd,1912,Durand,,Gaumont,,comd,,,JDu10
Alias Jimmy Valentine,1915,M.Tourneur,World,,sbw,cnr,,,MaT10
The Pride of the Clan,1917,,,,sbw,dram,,,MaT25
Poor Little Rich Girl,1917,,,,sbw,dram,,,MaT27
Au nom de la loi,1931,,,,,cnr,,,MaT40
Queen Elizabeth,1912,Mercanton,,Engadine Amusement Co,sbw,biop,,,LMe10
How Men Propose,1913,Weber,,Crystal,sbw,dram,,,LoW3
Where are My Children,1916,,,Universal,sbw,dram,,,LoW5
The Dumb Girl of Portici,1916,,,Universal,sbw ,,,,LoW10
The Juvenile Dancer Supreme; Lena Basquette in a Group of Classical Dances,1916,,,Universal,sbw ,musc,,,LoW11
The Dance of Love,1920,,,Universal,sbw ,,,,LoW20
Shoes,1920,,,Universal,sbw ,,,,LoW21
Nelson,1919,Elvey,,,,,,,ME40
The Elusive Pimpernel,1912,,,,,,,,ME60
The Hound of the Baskervilles,1921,,,,,,,,ME100
Balalava,1928,,,,,,,,MEl130
The School for Scandal,1930,,,,,,,,MEl150
The Lodger,1932,,,,bnw,susp,,London,ME180
The Tunnel,1934,,,,,,,,ME200
The Spider,1940,,Victor M. Greene,Admiral,bnw,susp,H,,ME240
Beware of Pity,1946,,,,,,,,ME270
My Wife's Lodger,1952,,,,,,,,ME300
Dough and Dynamite,1914,Mack Sennett,Mack Sennett,Keystone,sbw,comd,,,MSe10
Fatty and Mabel at the San Diego Exposition,1915,,Mack Sennett,Keystone,sbw,comd,,San Diego,MSe15
Fatty and Mabel's Simple Life,1915,,Mack Sennett,Keystone,sbw,comd,,San Diego,MSe18
Vampyren,1912,M.Stiller,,,,,,,MSt10
Sir Arne's Treasure,1919,,,,,,,,MSt20
Erotikon,1920,,,Svensk Film Industri,sbw,dram,H,,MSt30
The Saga of Gosta Berlin,1924,,,,,romt,,,MSt40
The Blizzard,1926,,,,,,,,MSt50
The Temptress,1927,,,MGM,sbw,dram,H,Paris,MSt53
Hotel Imperial,1927,,,,,,,,MSt55
Street of Sin,1928,,,,,,,,MSt60
From the Manger to the Cross,1912,Olcott,,Kalem,sbw,hist,,,SiO10
Monsieur Beaucaire,1924,,,Zokor-Lasky,sbw,hist,,,SiO30
Tradgardsmastaren,1912,Seastrom,,Svenska Biografteaten,sbw,dram,,,VSj1
The Phantom Carriage,1920,,,,sbw,,,,VSj3
He Who gets Slapped,1924,,,,sbw,,,,VSj5
The Scarlet Letter,1926,,,MGM,sbw,dram,,,VSj6
The Divine Woman,1927,,,MGM,sbw,biop,H,,VSj7
The Wind,1927,,Lars Hanson,MGM,sbw,dram,H,,VSj8
Within the Law,1912,UnYear12,,,,cnr,,,Z1210
Within the Law,1917,,,,,cnr,,,Z1220
Within the Law,1923,,,,,cnr,,,Z1230
The Last Days of Pompeii,1913,Rodolfo,,Ambrosio,sbw,dram,,,ElR10
Il Cadavere Vivente,1913,Oxilia,,Savoia,sbw,,,,NOx10
Rhapsodia Satanica,1917,,,Cines,sbw,romt,,,NOx20
Fedora; or Piu Forte dell'Odio e Amore,1913,Gonsalvi,,Aquila,sbw,dram,,,AcG10
Blade O'Grass,1915,George,,Edison,sbw,west,,,BuG10
California,1913,DeMille,Lasky,,,musc,,,CDM0
The Squaw Man,1913,,Lasky,Feature Play,sbw,west,,,CDM1
The Virginian,1914,,Lasky,Feature Play,sbw,dram,,,CDM3
Brewster's Millions,1914,,Lasky,Feature Play,sbw,dram,,,CDM5
Rose of the Rancho,1914,,Lasky,Feature Play,sbw,dram,,,CDM6
The Ghost Breaker,1914,,Lasky,Feature Play,sbw,dram,,,CDM7
Call of the North,1915,,,,,,,,CDM8
The Girl of the Golden West,1915,,,Paramount,sbw,dram,,,CDM9
The Wild Goose Chase,1915,,,,,,,,CDM10
The Warrens of Virginia,1915,,,,,,,,CDM11
The Arab,1915,,,,,,,,CDM12
The Goose Girl,1915,,,,,,,,CDM13
Carmen,1915,,,,sbw,dram,,,CDM15
Maria Rosa,1915,,,,,,,,CDM16
The Captive,1915,,,Feature Play,sbw,dram,,Montenegro,CDM17
The Cheat,1915,,,Feature Play,sbw,dram,,,CDM18
The Trail of the Lonesome Pine,1916,,,,,dram,,Ozarks,CDM19
Joan; the Woman,1917,,,,sbw,dram,,,CDM22
The Squaw Man,1918,,,,sbw,west,,,CDM32
The Affairs of Anatol,1921,,,Paramount,sbw,romt,,NYC,CDM40
Adam's Rib,1923,,,MGM,,,,,CDM44
The Ten Commandments,1923,,DeMille,,sbw,epic,,,CDM45
The King of Kings,1927,,deMille,Pathe,sbw,epic,H,,CDM51
Madame Satan,1930,,,,sbw,,,,CDM52
The Godless Girl,1931,,,,sbw,,,,CDM54
The Squaw Man,1931,,,MGM,sbw,dram,,,CDM55
The Sign of the Cross,1932,,DeMille,Paramount,bnw,epic,H,Rome,CDM56
Cleopatra,1934,,deMille,Paramount,bnw,dram,H,,CDM59
The Crusades,1935,,,,,,,,CDM60
The Plainsman,1936,,Zukor,Paramount,bnw,west,,St.Louis,CDM64
The Buccaneer,1938,,,,,advt,H,,CDM68
Union Pacific,1939,,deMille,Paramount,bnw,,H,,CDM73
Reap the Wild Wind,1942,,,,col,epic,,,CDM75
Unconquered,1947,,deMille,Paramount,tcol,epic,H,,CDM77
Samson and Delilah,1949,,,Paramount,col,romt,,,CDM78
The Greatest Show on Earth,1952,,,Paramount,col,epic,AA,,CDM79
The Ten Commandments,1956,,Henry Wilcoxon,Paramount,tcol,epic,H,,CDM80
Anthony and Cleopatra,1913,Guazzoni,,Cines,sbw,dram,,,EGz10
The Perils of Pauline,1913,Seitz,,,sbw,dram,,,GBS10
The Fatal Ring,1917,,,,sbw,dram,,,GBS20
Velvet Fingers,1921,,,,,dram,,,GBS30
The Sky Ranger,1925,,,,,dram,,,GBS40
The Vanishing American,1925,,,Paramount,sbw,docu,,,GBS42
The Woman in his Life,1935,,,MGM,,dram,,,GBS90
The Last of the Mohicans,1936,,Edward Small,Reliance,bnw,west,H,,GBS92
A Family Affair,1936,,,MGM,bnw,dram,H,,GBS93
You're Only Young Once,1938,,,MGM,bnw,dram,H,,GBS95
Judge Hardy's Children,1938,,,MGM,bnw,dram,H,,GBS96
Love Finds Andy Hardy,1938,,,MGM,bnw,dram,H,,GBS97
Out West With the Hardys,1938,,,MGM,bnw,dram,H,,GBS98
6000 Enemies,1939,,Lucien Hubbard,MGM,bnw,dram,H,,GBS100
The Hardys Ride High,1939,,,MGM,bnw,dram,H,,GBS102
Judge Hardy and Son,1939,,,MGM,bnw,dram,H,,GBS103
Andy Hardy Meets a Debutante,1939,,,MGM,bnw,comd,H,,GBS110
Kit Carson,1940,,,MGM,bnw,west,,,GBS115
Sky Murder,1940,,,MGM,bnw,dram,,,GBS120
Andy Hardy's Private Secretary,1941,,,MGM,bnw,comd,H,,GBS130
Life Begins for Andy Hardy,1941,,,MGM,bnw,comd,H,,GBS132
China Caravan,1942,,,MGM,bnw,dram,H,,GBS140
The Courtship of Andy Hardy,1942,,,MGM,bnw,comd,H,,GBS144
Andy Hardy's Double Life,1942,,,MGM,bnw,comd,H,,GBS145
Andy Hardy's Blonde Trouble,1944,,,MGM,bnw,comd,H,,GBS150
East Lynne,1913,Haldane,William George Barker,,sbw,dram,,,BHd10
Raja Harishchandra,1913,Phalke,,,sbw,dram,,,DGP1
Ivanhoe,1913,Brenon,,,sbw,actn,,,HBn5
Neptune's Daughter,1914,,,Universal,sbw,fant,,,HBn8
The Kreuzer Sonata,1913,,,,sbw,,,,HBn10
War Brides,1916,,,,sbw,,,,HBn12
The Passing of the Third Floor Back,1918,,,,sbw,,,,HBn15
The Sign on the Door,1921,,,,,,,,HBn18
The Spanish Dancer,1923,,,,,,,,HBn21
Peter Pan,1924,,,Paramount,bnw,romt,,,HBn25
Beau Geste,1926,,Brenon,Paramount,col,actn,H,,HBn30
Beau Ideal,1931,,William leBaron,Paramount,bnw,actn,H,,HBn40
The White Goddess of the Wangora,1913,Schomburgk,Schomburgk,,sbw,dram,,,HHS1
The Heroes of Paratau,1914,,Schomburgk,,sbw,dram,,,HHS3
The Outlaw of the Sudu Mountains,1914,,Schomburgk,,sbw,dram,,,HHS6
Odd Man Out,1914,,Schomburgk,,sbw,dram,,,HHS8
Deutsche in Sudan,1914,,Schomburgk,,sbw,docu,,,HHS9
Eine Weisse unter Kannibalen,1919,,Schomburgk,,sbw,docu,,,HHS12
Ein Abenteurer,1920,,Schomburgk,,sbw,docu,,,HHS13
Tropengift,1920,,Schomburgk,,sbw,docu,,,HHS14
Goldfieber,1920,,Schomburgk,,sbw,docu,,,HHS15
Im Kampf um die Diamantfelder,1921,,Schomburgk,,sbw,docu,,,HHS16
Geheimbundrieten der Frauen in Liberia,1923,,Schomburgk,,sbw,docu,,,HHS22
Mensch und Tier im Urwald,1924,,Schomburgk,,sbw,docu,,,HHS24
Fahrten und Fahrten,1926,,Schomburgk,,sbw,docu,,,HHS26
Verlorenes Land,1926,,Schomburgk,,sbw,docu,,,HHS28
Das Letzte Paradis,1932,,Schomburgk,,sbw,docu,,,HHS36
Die Wildnis Stirbt,1933,,Schomburgk,,sbw,docu,,,HHS38
Frauen; Masken; und Damonen,1948,,Schomburgk,,sbw,docu,,,HHS48
Abschied von Afrika,1956,,Schomburgk,,sbw,docu,,,HHS50
The Student of Prag,1913,Wegener,,,,,,,PW1
Rubezahls Hochzeit,1916,,,,,,,,PW2
Der Rattenfanger von Hameln,1918,,,,,,,,PW3
Der Golem,1920,,,UFA,sbw,,,,PW4
