stagename,dowstart,dowend,lname,fname,gender,dob,dod,roletype,origin
Han Albers,1923,1960,Albers,Han,M,1892,1984,lead,Ge
Eddie Albert,1938,1982,Heimberger,Eddie Albert,M,1908,1984,honest Joe,Am
Edward Albert,1965,1982,Albert,Edward,M,1951,1984,light,Am
Edward Albert~jr.,,,,,M,,1992,unknown,
William Albert,1982,,,,M,,1992,unknown,
Frank Albertson,1928,1963,Albertson,Frank,M,1907,1981,straight,Am
Jack Albertson,1947,1978,Albertson,Jack,M,1907,1981,character,Am
Mabel Albertson,1939,1970,Albertson,Mabel,F,1901,1982,nosey neighbour; wise and witty grandma,Am
Hardie Albright,1931,1957,Albrecht,Hardy,M,1903,1971,underused lead,Am
Lola Albright,1949,1968,Albright,Lola,F,1925,1984,stylish; tough-talking,Am
Alan Alda,1963,1982,Alda,Alan,M,1936,1984,lead,Am
Robert Alda,1945,1976,d'Abruzzo,Alphonso,M,1914,1986,unknown,Ct
Rutanya Alda,1978,1982,,,F,,1992,},
John Alderton,1964,1976,Alderton,John,M,1940,1984,light lead,Br
Vera Alentova,1980,,,,F,,1992,unknown,
Ben Alexander,1917,1957,Alexander,Nicholas Benton,M,1911,1969,boy actor,Am
Jane Alexander,1970,1983,Quigley,Jane,F,1939,1984,regal,Am
John Alexander,1936,1960,Alexander,John,M,1901,1982,portly,Am
Katherine Alexander,1934,1949,Alexander,Katherine,F,1901,1981,sympathetic,Am
Ross Alexander,1932,1937,Alexander,Ross,M,1907,1937,lead,Am
Sandy Alexander,1983,,,,,,1984,unknown,
Terence Alexander,1951,1979,Alexander,Terence,M,1923,1984,ineffectual,Br
Hope AlexanderWells,,,,,F,,1992,unknown,Ct
Muhammed Ali,1977,,Clay,Cassius,M,1942,1984,unknown,Am
Dorothy Alison,1952,1972,Alison,Dorothy,F,1925,1984,unknown,Au
Andrea Allan,,,,,F,,1992,unknown,Ct
Elizabeth Allan,1931,1958,Allan,Elizabeth,F,1908,1984,delicate or aristocratic heroines,Br
William Alland,1941,1961,Alland,William,M,1916,1984,enquiring reporter,Am
Chesney Allen,1935,1944,Allen,Chesney,M,1894,1982,light comedian,Br
Catherine Allegret,1965,,,,F,,1984,unknown,Fr
Elizabeth Allen,1960,1972,Gillease,Elizabeth,F,1934,1984,lead,Am
Fred Allen,1935,1953,Sullivan,John F.,M,1894,1956,lead,Am
Gracie Allen,1933,1944,Allen,Gracie,F,1902,1964,scatterbrained comedienne,Am
Karen Allen,1978,1982,Allen,Karen,F,1955,1984,lead,Am
Nancy Allen,1973,1983,Allen,Nancy,F,1954,1984,lead,Am
Patrick Allen,1955,1982,Allen,Patrick,M,1927,1984,lead,Br
Rae Allen,,,,,,,1992,unknown,Ct
Steve Allen,1949,1989,Allen,Steve,M,1921,1984,dry comic,Am
Woody Allen,1965,1983,Konigsberg,Allen Stewart,M,1935,1984,confused innocent,Am
Joseph Allen~jr.,,,,,M,,1992,unknown,Ct
Kirstie Alley,1982,1990,Alley,Kirstie,F,,1992,spunky,Am
Sara Allgood,1918,1950,Allgood,Sara,F,1883,1950,amiable,Ir
Claud Allister,1929,1953,Palmer,Claud,M,1891,1970,silly monocled,Br
Astrid Allwyn,1932,1943,Allwyn,Astrid,F,1909,1978,lead,Sw
June Allyson,1943,1978,Geisman,Ella,F,1917,1984,tomboy tease,Am
Pedro Almodovar,,, Almodovar,Pedro,M,,1992,wild,Sp
Maria Conchita Alonso,,,,,F,,1992,unknown,
Corinne Alphen,1983,,,,F,,1992,beauty,
Kirk Alyn,1942,1950,Alyn,Kirk,M,1910,1984,lead,Am
Betty Amann,,,,,F,,1992,unknown,
Leonora Amar,,,,,F,,1992,unknown,
Don Ameche,1936,1983,Amici,Dominic Felix,M,1908,1993,pleasant hero,Am
Lucio Amelio,,,,,M,,1992,unknown,
Leon Ames,1932,1972,Wycoff,Leon,F,1903,1993,harassed or kindly father; suave professional man,Am
Ramsay Ames,1944,1963,Philips,Ramsay,F,1919,1984,lead,Am
Suzy Amis,1993,,Amis,Suzy,F,1962,1984,handsome,Am
John Amos,,,,,M,,1992,unknown,
John Amplas,,,,,M,,1992,unknown,
Dev Anand,1958,1980,bn,fn,M,,1984,hero,In
Glenn Anders,1930,1951,Anders,Glenn,M,1889,1981,sinister,Am
Luana Anders,1958,1982,Anders,Luana,F,1949,1984,lead,Am
Merry Anders,1952,1958,Anders,Merry,F,1932,1984,light lead,Am
Bridgette Andersen,,,,,F,,1992,unknown,Ct
Bibi Anderson,,,,,M,,1992,transvestite,
E. Erich Anderson,,,,,M,,1992,unknown,Ct
Rochester,1930,1965,Anderson,Eddie,M,1905,1977,black comedian,Am
G.M. Anderson,1903,1965,Aronson,Max,M,1882,1971,cowboy,Am
Harriet Anderson,1955,,Anderson,Harriet,F,,1992,nude villain,Sw
Herbert Anderson,194,1969,Anderson,Herbert,M,1917,1984,mild-mannered,Am
Ingrid Anderson,,,,,F,,1992,unknown,Ct
Jean Anderson,1947,1979,Anderson,Jean,F,1908,1984,sympathetic nurse; tired mother; spinster aunt,Br
John Anderson,1958,1978,Anderson,John,M,1922,1984,Tall; thin; pale-eyed,Am
Judith Anderson,1933,1984,Anderson,Dame Frances Margaret,F,1898,1992,icy presence,Au
Lindsay Anderson,1981,,Anderson,Lindsay,M,1923,1984,unknown,Am
Loni Anderson,1977,,Anderson,Loni,F,1947,1984,sexy blonde,Am
Mary Anderson,1939,1953,Anderson,Mary,F,1920,1984,supporting,Am
Melissa Sue Anderson,,,,,F,,1992,unknown,Ct
Michael Anderson~jr.,1957,1971,Anderson,Michael,M,1943,1984,juvenile lead,
Richard Anderson,1951,1978,Anderson,Richard,M,1926,1984,thoughtful-looking,Am
Rona Anderson,1948,1969,Anderson,Rona,F,1926,1984,unknown,Br
Warner Anderson,1943,1968,Anderson,Warner,M,1911,1976,solid presence; no outstanding personality,Am
Bibi Andersson,1955,1983,Andersson,Bibi,F,1935,1984,unknown,Sw
Harriet Andersson,1952,1972,Andersson,Harriet,F,1932,1984,unknown,Am
Carole Andre,,,,,F,,1992,unknown,Ct
Gabe Andre,,,,,,,1992,unknown,Ct
Fr'ed'ric Andrei,,,,,M,,1992,unknown,Ct
Ursula Andress,1954,1981,Ursula,Andress,F,1936,1984,sex bomb,Zw
Anthony Andrews,1974,1981,Andrews,Anthony,M,1948,1984,lead,Br
Brian Andrews,,,,,M,,1992,unknown,Ct
Dana Andrews,1940,1979,Andrews,Carver Daniel,M,1909,1992,hard,Am
Eamonn Andrews,,,Andrews,Eamonn,M,,1987,unknown,Ct
Edward Andrews,1955,1979,Andrews,Edward,M,1914,1984,beaming; bespectacled,Am
Harry Andrews,1952,1980,Andrews,Harry,M,1911,1989,tough,Br
Julie Andrews,1964,1983,Wells,Julia,F,1934,1984,wholesome singer,Br
The Andrews Sisters,1940,1948,Andrews,,G,,,harmony singing group,Am
Stanley Andrews,1934,1958,Andrews,Stanley,M,1892,1969,grizzled western veteran,Am
Heather Angel,1930,1962,Angel,Heather,F,1909,1984,lead,Br
Pier Angeli,1950,1972,Pierangeli,Anna Maria,F,1932,1971,sensitive,It
The Hells Angels,,,,,G,,1992,unknown,Ct
Maya Angelou,1993,,Angelou,Maya,F,1929,1984,poet,Am
Muriel Angelus,1930,1940,Findlay,M.A.,F,1909,1984,lead,Br
Ivy Angustain,,,,,F,,1992,unknown,Ct
Evelyn Ankers,1933,1960,Ankers,Evelyn,F,1918,1992,looked decorative; well-bred heroine,Br
Morris Ankrum,1940,1961,Morris,Stephen,M,1896,1964,lawyer; judge; Western villain,Am
Francesca Annis,1958,1983,Annis,Francesca,F,1944,1984,lead,Br
AnnMargret,1961,1983,Olsson,Ann-Margret,F,1941,1984,sex symbol,Sw
Michael Ansara,1944,1974,Ansara,Michael,M,1922,1984,Indian,Am
Karen Anspach,,,,,F,,1992,unknown,Ct
Susan Anspach,1970,1983,Anspach,Susan,F,1939,1984,stage,Am
Adam Ant,,,,,M,,1992,unknown,Ct
Lysette Anthony,,,,,F,,1992,unknown,Ct
Michael Anthony,,,,,M,,1992,unknown,Ct
Susan Anton,,,,,F,,1992,unknown,Ct
Laura Antonelli,,,,,F,,1992,unknown,Ct
Lou Antonio,,,,,M,,1992,unknown,Ct
Scott Antony,1972,1974,Antony,Scott,M,1950,1984,lead juvenile,Br
Aquanetta,1942,1946,Davenbort,Burnu,F,1920,1984,exotic,Am
Alfonso Arau,,,,,M,,1992,unknown,Ct
Roscoe Arbuckle,1913,1921,Arbuckle,Roscoe (Fatty),M,1887,1933,comic,Am
Allan Arbus,,,,,M,,1992,unknown,Ct
Anne Archer,1970,1982,Archer,Anne,F,,1984,lead,Am
Fanny Ardant,1981,1984,Ardant,Fanny,F,1949,1984,lead,Fr
Eve Arden,1929,1982,Quedens,Eunice,F,1912,1990,best; cool friend,Am
Carmen Argenziano,,,,,F,,1992,unknown,Ct
Adam Arkin,,,,,M,,1992,unknown,Ct
Alan Arkin,1966,1983,Arkin,Alan,M,1934,1984,lead,Am
David Arkin,,,,,M,,1992,unknown,Ct
Richard Arlen,1925,1976,van Mattemore,Cornelius,M,1898,1976,rugged hero,Am
Arletty,1931,1972,Bathiat,Leonie,F,1898,1992,world-weary,Fr
George Arliss,1921,1937,Andrews,George Augustus,M,1868,1946,autocratic,Br
Pedro Armendariz,1936,1963,Armendariz,Pedro,M,1912,1963,expansive,Me
Henry Armetta,1918,1946,Armetta,Henry,M,1888,1945,excitable; gesticulating foreigner,It
Bess Armstrong,1982,1983,Armstrong,Bess,F,,1984,lead,Am
Curtis Armstrong,,,,,M,,1992,unknown,Ct
Louis Armstrong,1936,1969,Armstrong,Louis `Satchmo',M,1900,1971,black jazz musician,Am
R.G. Armstrong,1958,1982,Armstrong,R.G.,M,1920,1984,tough serious,Am
Robert Armstrong,1927,1963,Smith,Donald Robert,M,1890,1973,tough cop; scientist,Am
Todd Armstrong,1962,1968,Armstrong,Todd,M,1939,1984,stalwart lead,Am
Yvonne Arnaud,1920,1958,Arnaud,Yvonne,F,1892,1958,unknown,Am
Lucie Arnaz,1975,1983,Arnaz,Lucie,F,1951,1984,lead,
Desi Arnaz,1950,1982,Arnaz y de Acha,Desiderio,M,1915,1986,diminutive explosive romantic,Cu
Desi Arnaz~jr.,1970,1983,Arnaz,Desi,M,1953,1984,juvenile lead,Am
Peter Arne,1955,1982,Albrecht,Peter Arne,M,1920,1983,villain,Br
James Arness,1947,1981,Aurness,James,M,1923,1984,giant,Am
Jeanetta Arnette,,,,,F,,1992,unknown,Ct
Edward Arnold,1916,1956,Schneider,Guenther,M,1890,1956,dynamic rotund,Am
Mark Arnott,,,,,M,,1992,unknown,Ct
Charles Arnt,1934,1962,Arnt,Charles,M,1908,1984,snoop; suspicious; or plain ordinary fellow,Am
Rosanna Arquette,,,,,F,,1992,unknown,Ct
Antonin Artaud,1926,1928,Artaud,Antonin,M,1895,1948,dabbling writer,Fr
Beatrice Arthur,1972,1983,Frankel,Bernice,F,1923,1984,dominant comedy,Am
George K. Arthur,1921,1935,Brest,G.K.A.,M,1899,1984,small but gamy,Br
Jean Arthur,1923,1966,Greene,Gladys,F,1905,1991,squeaky petite feminist,Am
Linda Arvidson,1908,1916,Arvidson-Griffith,Linda,F,1884,1949,lead,Am
Leslie Ash,,,,,,,1992,unknown,Ct
Peggy Ashcroft,1933,1978,Ashcroft,Dame Peggy,F,1907,1991,royal,Br
Jane Asher,1951,1972,Asher,Jane,F,1946,1984,lead,Br
Ren`ee Asherson,1944,1968,Asherson,Ren,F,1920,1984,unknown,Br
Edward Ashley,1933,1976,Cooper,E.A.,M,1904,1984,third lead,Br
Elizabeth Ashley,1964,1982,Cole,Elizabeth,F,1939,1984,cold sporadic,Am
Jennifer Ashley,,,,,F,,1992,unknown,Ct
John Ashley,,,,,M,,1992,unknown,Ct
Gregoire Asian,,,,,,,1992,unknown,Ct
Luke Askew,1967,1979,Askew,Luke,M,,1984,western,Am
Arthur Askey,1937,1972,Askey,Arthur,M,1900,1982,diminutive,Br
Ed Asner,1963,1983,Asner,Edward,M,1929,1984,chubby tough,Am
Chuck Aspegren,,,,,M,,1992,unknown,Ct
Armand Assante,,,,,M,,1992,unknown,Ct
Asta,1934,1947,,,A,,1984,wire-haired fox terrier,Ct
Adele Astaire,,,,,M,,1981,unknown,Ct
Fred Astaire,1933,1981,Austerlitz,Frederick,M,1899,1987,dancer,Am
Nils Asther,1927,1963,Asther,Nils,M,1897,1981,suave; exotic,Sw
John Astin,1961,1977,Astin,John,M,1930,1984,comic,Am
Patty Duke Astin,1955,1982,Duke Astin,Patty,F,1946,1984,unknown,Am
Gertrude Astor,1927,1962,Astor,Gertrude,F,1887,1977,silent screen,Am
Mary Astor,1921,1964,Langehanke,Lucille,F,1906,1987,solid; character,Am
William Atherton,1972,1983,Atherton,William,M,1947,1984,unknown,Am
Christopher Atkins,1980,1983,Atkins,Christopher,M,1961,1984,juvenile lead,Am
Eileen Atkins,1968,1983,Atkins,Eileen,F,1934,1984,character,Br
Kiyoshi Atsumi,1969,1996,Tadoroko,Yasuo,M,1928,1996,peddler: Tora-san,Ja
Richard Attenborough,1942,1979,Attenborough,Sir Richard,M,1923,1984,coward; `wide range',Br
Malcolm Atterbury,1954,1964,Atterbury,Malcolm,M,1907,1984,character,Am
Edith Atwater,1936,1976,Atwater,Edith,F,1911,1984,lead,Am
Lionel Atwill,1919,1946,Atwill,Lionel,M,1885,1946,teutonic villains,Br
Kim Atwood,,,,,,,1992,unknown,Ct
Brigitte Auber,1955,,,,F,,1992,unknown,Ct
Rene Auberjonois,1970,1980,Auberjonois,Ren'e,M,1940,1984,character,Am
Lenore Aubert,1938,1949,Aubert,Leonore,F,1913,1984,sinister,Yu
Cecile Aubry,1949,1954,Benard,Anne-Jes`e,F,1929,1984,petit,Fr
Joss Auckland,,,,,M,,1992,unknown,Ct
Michael Auclair,1946,1973,Vujovic,Vladimir,M,1922,1984,lead,Fr
Maxine Audley,1954,1969,Audley,Maxine,F,1923,1984,character,Br
Stephane Audran,1958,1982,Audran,St'ephane,F,1932,1984,cool,Fr
Audrey,,,,,,,1992,unknown,Ct
Mischa Auer,1928,1966,Ounskowsky,Mischa,M,1905,1967,wild; noble idiot,Ru
Claudine Auger,1963,1980,Auger,Claudine,F,1942,1984,lead,Fr
Marie Ault,1924,1949,Cragg,Mary,F,1870,1951,dialect comedy,Br
JeanPierre Aumont,1931,1983,Salomons,Jean-Pierre,M,1909,1984,lead,Fr
John Austin,,,,,M,,1992,unknown,Ct
Daniel Auteuil,1985,,Auteuil,Daniel,M,,1992,unknown,Fr
Gene Autry,1937,1950,Autry,Gene,M,1907,1998,easy-going cowboy,Am
Frankie Avalon,1960,1978,Avallone,Francis,M,1939,1984,light lead,Am
Luis Avalos,,,,,M,,1992,unknown,Ct
Doe Avedon,1954,1956,Avedon,Doe,F,1928,1984,lead,Am
Brian Avery,,,,,M,,1992,unknown,Ct
Margaret Avery,,,,,F,,1992,unknown,Ct
Nina Axelrod,,,,,F,,1992,unknown,Ct
Hoyt Axton,,,,,M,,1992,unknown,Ct
George Ayer,,,,,M,,1992,unknown,Ct
Dan Aykroyd,1980,1988,Aykroyd,Dan,M,,1984,comic lead,Am
Felix Aylmer,1933,1968,Aylmer Jones,Felix Edward,M,1889,1979,schoolmasters; bishops,Br
Agnes Ayres,1919,1937,Hinkle,Agnes,F,1896,1940,silent lead,Am
Gregg Ayres,,,,,M,,1992,unknown,Ct
Lew Ayres,1929,1972,Ayer,Lewis,M,1908,1997,boyish lead,Am
Robert Ayres,1949,1968,Ayres,Robert,M,1914,1968,strong; silent,Ca
Randle Ayrton,1918,1978,Ayrton,Randle,M,1869,1940,character,Br
Shabana Azmi,,,,,F,,1992,unknown,Ct
Charles Aznavour,1958,1976,Aznavurjan,Shahnour,M,1924,1992,small rugged lead,Tu
Candy Azzara,,,,,F,,1992,unknown,Ct
Hank Azaria,,,,,M,1964,1984,comic,Ct
Lauren Bacall,1944,1981,Perske,Betty Jean,F,1924,1984,sultry to resourceful,Am
Barbara Bach,1977,1981,Bach,Barbara,F,1951,1984,lead,Ge
Pamela Bach,,, Bach,Pamela,F,1962,1984,unknown,Am
Amitabh Bachchan,1970,1980,bn,fn,M,1942,1984,romantic hero,Am
Jim Backus,1958,1980,Backus,Jim,M,1913,1989,burly comedian,Am
Kevin Bacon,1984,1990,,,M,,1992,unknown,
Hermione Baddeley,1940,1964,Baddely,Hermione,F,,1986,unknown,Ct
Alan Badel,1953,1980,Badel,Alan,M,1923,1982,sensitive,Br
Buddy Baer,1949,1961,Baer,Jacob Henry,M,1915,1984,unknown,Am
Harry Baer,1979,1980,,,M,,1992,unknown,Ct
Max Baer,1933,1958,Baer,Max,M,1909,1959,boxer,Am
Pearl Bailey,1947,1976,Bailey,Pearl,F,1918,1990,black singer,Am
Barbara Bain,1971,1973,Bain,Barbara,F,1932,1984,lead,Am
Fay Bainter,1934,1962,Bainter,Fay,F,1892,1968,stalwart matron,Am
Scott Baio,1978,1982,Baio,Scott,M,1961,1984,teenager,Am
Blanche Baker,1984,1990,,,F,,1992,unknown,
Carrol Baker,1953,1983,Baker,Carrol,F,1931,1984,sex symbol,Am
Diane Baker,1959,1971,Baker,Diane,F,1936,1984,demure,Am
Hylda Baker,1960,1973,Baker,Hylda,F,1909,1984,comedienne,Br
Joe Don Baker,1967,1979,Baker,Joe Don,M,1943,1984,tough,Am
Josephine Baker,1927,,Baker,Josephine,F,1906,1975,sexy dancer,Am
Kathy Baker,1987,1990,,,F,,1992,good girl,Am
Kenny Baker,1936,1946,Baker,Kenny,M,1912,1984,crooner,Am
Ruby Baker,1982,,,,F,,1992,unknown,
Stanley Baker,1941,1975,Baker,Sir Stanley,M,1927,1976,virile,Br
Tom Baker,1971,1975,Baker,Tom,M,1935,1984,larger than life,Am
Bob Balaban,1978,1966,Balaban,Bob,M,1965,1984,character,Am
Jill Balcon,1947,,Balcon,Jill,F,1925,1984,unknown,Br
Rebecca Balding,,,,,F,,1992,unknown,Ct
Adam Baldwin,1980,1989,,,M,,1992,unknown,
Alec Baldwin,1988,1990,Baldwin,Alec,M,195x,1992,peevish,
Daniel Baldwin,,, Baldwin,Daniel,M,,1992,unknown,Am
Stephen Baldwin,,, Baldwin,Stephen,M,1963,1984,unknown,Am
William Baldwin,1989,1990,Baldwin,William (Billy),M,1963,1984,unknown,Am
Betty Balfour,1928,1945,Balfour,Betty,F,1903,1984,comedienne,Br
Mireille Balin,1933,1937,Balin,Mireille,F,1909,1968,lead,Fr
Florinda Balkan,1970,1975,,,F,,1992,mistress,
Lucille Ball,1933,1973,Ball,Lucille,F,1910,1989,comedienne,Am
Vincent Ball,1956,1960,Ball,Vincent,M,,1984,unknown,Au
Kay Ballard,1956,1980,Balotta,Catherine (Kaye),F,1926,1984,comedienne,Am
Martin Balsam,1954,1982,Balsam,Martin,M,1919,1984,quiet; comfortable,Am
Anne Bancroft,1952,, Italiano,Anna Maria,F,1931,1984,warm; competent,Ct
George Bancroft,1921,1942,Bancroft,George,M,1882,1956,burly,Am
Antonio Banderas,,,,,M,1960,1984,lover,Sp
Victor Banerjee,,,,,M,,1992,unknown,Ct
Donatas Banionis,,,,,M,,1992,unknown,Ct
Alex Bank,,,,,M,,1992,unknown,Ct
Tallulah Bankhead,1918,1965,Bankhead,Tallulah,F,1902,1968,theatrical,Am
Aaron Banks,,,,,M,,1992,unknown,Ct
Leslie Banks,1932,1950,Banks,Leslie,M,1890,1952,tough sophisticate,Br
Vilma Banky,1920,1933,Lonchit,Vilma,F,1902,1984,silent,Os
Ian Bannen,1955,1983,Bannen,Ian,M,1928,1984,effective,Br
John Banner,1943,1971,Banner,John,M,1910,1973,German sergeant,Po
Theda Bara,1915,1926,Goodman,Theodosia,F,1890,1955,vamp,Am
Olga Baraclanova,,,,,F,,1992,unknown,Ct
Christine Baranski,,,,,F,,1992,unknown,Ct
Vanna Barba,1992,,Barba,Vanna,F,1967,1984,sexy,Gr
Adrienne Barbeau,1977,1982,Barbeau,Adrienne,F,1949,1984,lead,Am
George Barbier,1924,1945,Barbier,George,M,1865,1945,blustery kind man,Am
Joyce Barbour,1936,,,,F,,1992,unknown,Ct
Brigitte Bardot,1954,1973,Javal,Camille,F,1933,1984,sexy,Fr
Mijanou Bardot,1960,,Javal,Mijanou,F,,1984,sexy,Am
Sonny Barger,,,,,M,,1992,unknown,Ct
Lynn Bari,1933,1962,Fisher,Marjorie,F,1915,1989,pert,Am
Norah Baring,1928,1933,Baring,Norah,F,1907,1984,lead,Br
Erik Barker,1937,1970,Barker,Erik,M,1912,1984,character,Br
Ronnie Barker,1963,1979,Barker,Ronnie,M,1929,1984,portly,Br
Lex Barker,1949,1952,Barker,Alexander,M,,1984,ape man,Am
Ellen Barkin,1982,1989,Barkin,Ellen,F,1954,1984,sexy wives,Am
Marcie Barkin,1975,,,,F,,1992,unknown,
Mikhail Barishnikov,1979,,,,M,,1992,dancer,Ru
Binnie Barnes,1931,1972,Barnes,Gitelle,F,1905,1983,light,Br
Jake Barnes,,,,,M,,1992,unknown,Ct
Joanna Barnes,1958,1970,Barnes,Joanna,F,1934,1984,cool,Am
Julian Barnes,,,,,M,,1992,unknown,Ct
Priscilla Barnes,,,,,F,,1992,unknown,Ct
Charlie Barnett,,,,,M,,1992,unknown,Ct
Nella Barnier,,,,,F,,1992,unknown,Ct
Sandy Baron,,,,,,,1992,unknown,Ct
Pierre Barouh,,,,,M,,1992,unknown,Ct
Maria Barranco,,,,,F,,1992,unknown,Ct
JeanLouis Barrault,1935,1967,Barrault,Jean-Louis,M,1910,1994,stage actor,Am
MarieChristine Barrault,1969,1978,Barrault,Marie-Christine,F,1944,1984,unknown,Fr
Edith Barrett,1941,1956,Williams,Edith,F,1907,1977,secondary,Am
Judith Barrett,1936,1940,Kelly,Lucille,F,1914,1984,B-movie lead,Am
Barbara Barrie,1964,1980,Barrie,Barbara,F,,1984,pert,Am
Mona Barrie,1933,1953,Smith,Mona,F,1909,1984,ladylike,Au
Wendy Barrie,1932,1954,Jenkins,Wendy,F,1912,1978,lead,Br
Edgar Barrier,1940,1963,Barrier,Edgar,M,1906,1964,suave villain,Am
Maurice Barrier,1982,,,,M,,1992,unknown,Am
George Barris,1979,,,,M,,1992,unknown,Ct
Gene Barry,1952,1979,Klass,Eugene,M,1921,1984,poised,Am
Joan Barry,1922,1934,Barry,Joan,F,1903,1984,lead,Am
Diana Barrymore,1942,1944,Barrymore Blythe,Diane Blanche,F,1921,1960,unhappy,Am
Drew Barrymore,1982,1992,Barrymore,Drew,F,1976,1984,determined child,Am
Ethel Barrymore,1914,1957,Blythe,Edith Mae,F,1879,1959,regal presence,Am
John Barrymore,1913,1942,Blythe,John,M,1882,1942,churlish grandpa,Am
John Barrymore~jr.,1950,1963,Blythe Barrymore,John Drew,M,1932,1984,weakling,Am
John Barrymore~III,,,,,M,,1984,unknown,Ct
Lionel Barrymore,1909,1953,Blythe,Lionel,M,1878,1954,churlish grandpa?,Am
Maurice Barrymore,,,Blythe,Herbert,M,,1992,stage,Am
Paul Bartels,1976,1981,Bartels,Paul,M,1940,1984,wild,Am
Eddie Barth,1979,,,,M,,1992,unknown,
Richard Barthelmess,1916,1942,Barthelmess,Richard,M,1895,1963,presentable innocent,Am
Freddie Bartholomew,1930,1951,Llewellyn,Frederick,M,1924,1992,well-bred child,Ir
