,dir_name,prod_name,studio_name,title,year,prc,cat,awattr,awtype,location
20,Cohl,Joseph Schenck,Gaumont,Le Binetoscope,1909,bws,Cart,**,W50,Washington town city
21,deLiguoro,Joseph Schenck,SaffiComerio,"Marin Valiero, Doge of Venice",1909,bws,Hist,**,W50,Venice city
22,Caserini,Joseph Schenck,Artistica Gloria,Love Everlasting,1913,bws,Dram,**,W50,Paris palace city
23,Mackay,Joseph Schenck,Artistica Gloria,Gertie the Dino,1909,bws,Cart,**,W50,Paris palace city
24,F.Powell,Joseph Schenck,Biograph,All on Account of Milk,1910,bws,Romt,**,W50,Paris palace city
25,loSavio,Joseph Schenck,Film d'Arte Italia,The Merchant of Venice,1910,bws,Dram,**,W50,Venice city
26,Blackton,Joseph Schenck,Vitagraph,Life of Moses,1910,col,Biop,**,W50,Venice city
27,Bentley,Joseph Schenck,BIP ,Lucky to Me,1939,bnw,Dram,**,W50,Venice city store store store
28,Falena,Joseph Schenck,Film d'Art Paris,Francesca di Rimini,1911,bws,Romt,**,W50,Venice city store store store
29,Padovan,Joseph Schenck,Milano Films,Homer's Odyssey,1911,bws,Advt,**,W50,Venice city store store store
30,Blom,Joseph Schenck,Great Northern,The Vampire Dancer,1911,bws,Dram,**,W50,Venice city store store store
31,Perret,Joseph Schenck,Great Northern,L'Enfant de Paris,1913,bws,Dram,**,W50,Venice city store store store
32,Mentasti,Joseph Schenck,Itala,Clios and Phyletes,1911,bws,Dram,**,W50,Venice city store store store
33,Th.Ince,Th.ince,Quality Amusememt Inc.,Custer's Last Fight,1925,bws,West,v,H,Venice city store store store mil.inst.
34,Gad,Th.ince,Great Northern,The Aviator's Generosity,1911,bws,Dram,v,H,Venice city store store store mil.inst.
35,Humphrey,Th.ince,Great Northern,A Tale of Two Cities,1911,bws,Dram,v,H,Venice city store store store mil.inst.
36,Dwan,Bogeaus,RKO,Slightly Scarlet,1956,col,Dram,0,H,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city
37,A.E.Green,Sidney Skolsky,Warners,The Eddie Cantor Story,1953,Tcol,Musc,0,H,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater
38,Conway,Lawrence Weingarten,MGM,The Hucksters,1947,bnw,Romt,**,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public
39,Durand,Lawrence Weingarten,Gaumont,Comedy of the absurd,1912,bnw,Comd,**,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public
40,M.Tourneur,World,Gaumont,Au nom de la loi,1931,bws,CnRb,**,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public
41,Mercanton,World,Engadine Amusement Co,Queen Elizabeth,1912,bws,BioP,**,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public law
42,Weber,World,Universal,Shoes,1920,sbw ,Musc,**,AAN,Venice city store store store mil.inst. csd csd mil.inst. mil.inst. csd sea city theater theater public law
43,Elvey,Victor M. Greene,Admiral,My Wife's Lodger,1952,bnw,Susp,0,H,London city train
44,Mack~Sennett,Mack~Sennett,Keystone,Fatty and Mabel's Simple Life,1915,bws,Comd,0,H,San Diego city
45,M.Stiller,Mack~Sennett,MGM,Street of Sin,1928,bws,Dram,*,H,Paris city csd hotel
46,Olcott,Mack~Sennett,Zokor-Lasky,Monsieur Beaucaire,1924,bws,Hist,*,H,Paris city csd hotel
47,Seastrom,Lars Hanson,MGM,The Wind,1927,sbw,Dram,***,H,Paris city csd hotel town csd
48,UnYear12,Lars Hanson,MGM,Within the Law,1923,sbw,CnRb,***,H,Paris city csd hotel town csd
49,Rodolfo,Lars Hanson,Ambrosio,The Last Days of Pompeii,1913,bws,Dram,***,H,Paris city csd hotel town csd
50,Oxilia,Lars Hanson,Cines,Rhapsodia Satanica,1917,bws,Romt,***,H,Paris city csd hotel town csd
51,Gonsalvi,Lars Hanson,Aquila,"Fedora, or Piu Forte dell'Odio e Amore",1913,bws,DRam,***,H,Paris city csd hotel town csd
52,George,Lars Hanson,Edison,Blade O'Grass,1915,bws,West,***,H,Paris city csd hotel town csd
53,DeMille,Henry Wilcoxon,Paramount,The Ten Commandments,1956,Tcol \VsVis,Epic,*,H,St.Louis city am.park
54,Guazzoni,Henry Wilcoxon,Cines,Anthony and Cleopatra,1913,bws,Dram,*,H,St.Louis city am.park
55,Seitz,Lucien Hubbard,MGM,Andy Hardy's Blonde Trouble,1944,bnw,Comd,0,H,St.Louis city am.park csd
56,Haldane,William George Barker,MGM,East Lynne,1913,bws,Dram,0,H,St.Louis city am.park csd
57,Phalke,William George Barker,MGM,Raja Harishchandra,1913,bws,Dram,0,H,St.Louis city am.park csd
58,Brenon,William leBaron,Paramount,Beau Ideal,1931,bnw,Actn,0,H,St.Louis city am.park csd resort desert desert
59,Schomburgk,Schomburgk,Paramount,Abschied von Afrika,1956,bw,Docu,0,H,St.Louis city am.park csd resort desert desert csd csd
60,Wegener,Schomburgk,UFA,Der Golem,1920,sbw,Docu,0,H,St.Louis city am.park csd resort desert desert csd csd
61,Unknown42,Schomburgk,UFA,Tarzan the Mighty,1928,bws,Advt,0,H,St.Louis city am.park csd resort desert desert csd csd
62,DegliAbbati,Schomburgk,Aristica Gloria,The Memory of the Other,1914,bws,Comd,0,H,St.Louis city am.park csd resort desert desert csd csd
63,A.Korda,A.Korda,London Films,An Ideal Husband,1947,bnw,Comd,Winston Churchill's favorite movie,VIP,Trafalgar city sea
64,Chaplin,Chaplin,England,A Countess from Hong Kong,1966,bnw,Dram,***,H,Paris city
65,Gallone,Gallone,S.A. Grandi,Carmen di Travestere,1962,bws,Dram,***,H,Paris city
66,C.Campbell,Selig,S.A. Grandi,The Spoilers,1914,sbw,Dram,***,H,Paris city csd
67,Wilhelm,Selig,Union,Der Stolz der Firma,1914,bws,Comd,***,H,Berlin city
68,E.Curtis,Selig,Union,In The Land of the War Canoes,1914,bws,Dram,***,H,Kwakiutl  island
69,Lubitsch,Lubitsch,Fox,Cluny Brown,1946,bnw,Romt,***,H,NYC afterlife city
70,Fosco,Lubitsch,Itala,Hedda Gabler,1919,bws,Dram,***,H,NYC afterlife city
71,R.Barker,Th.Ince,New York,The Typhoon,1914,bws,Dram,***,H,NYC afterlife city
72,Santell,Th.Ince,Fox,The Hairy Ape,1944,bnw,Dram,0,H,NYC afterlife city school csd hospital
73,Carewe,Lloyd Sheldon,Paramount,Are We Civilized?,1934,bnw,Advt,*,H,NYC afterlife city school csd hospital csd
74,Dulac,Lloyd Sheldon,Delia,La Coquille et le Clergyman,1926,sbw,Surr,*,H,NYC afterlife city school csd hospital csd
75,Melford,Lasky,Paramount,The Light That Failed,1940,bws,Dram,*,H,London city
76,Serena,Lasky,Ceasar,The Woman of the Camelias,1915,bws,Dram,*,H,London city
77,Adolfi,Lasky,Warners,Voltaire,1933,bnw,BioP,0,H,London city
78,G Edwards,Lasky,Warners,It's the Law,1924,bws,Dram,0,H,London city
79,J.May,Burt Kelly,US,Johnny Doen't Live Here Any More,1944,bnw,Dram,0,H,Berlin city
80,L.West,Burt Kelly,Thomas Edison,The Corporal's Daughter,1915,bws,Comd,0,H,Berlin city
81,Feuillade,Burt Kelly,Gaumont,Judex,1917,pws,CnRb,0,H,Paris city
82,Walsh,none,Warners,A Distant Trumpet,1964,Wcol,Dram,0,H,Brooklyn city ship mil.inst. estate
83,Guitry,none,Gaumont,Assassins et Voleurs,1957,bnw,Comd,0,H,Paris city work town
84,W.D.Taylor,none,RealArt,Huckleberry Finn,1920,bws,Dram,0,H,S.F. city csd
85,Unknown15,none,RealArt,The Dancer of Paris,1928,bnw,Comd,0,H,S.F. city csd theater
86,A.Bragaglia,none,Novissima ,Thais,1916,bnw,Comd,0,H,S.F. city csd theater
87,Gance,Gance,Soc.Gen.des Films,Austerlitz,1960,col,Hist,****,H,S.F. city csd theater mil.inst.
88,Cline,Erle C. Kenton,Universal,Jiggs and Maggie in Court,1948,bnw,Comd,****,H,NYC city
89,H.King,D.F.Zanuck,Fox,Tender is the Night,1961,Mlab,Advt,0,H,Paris city
90,Feyder,A.Korda,London,La Lois du Nord,1939,bnw,Romt,**,H,Flanders csd>
91,Neilan,A.Korda,First National,Sweethearts on Parade,1930,bnw,Romt,**,H,Flanders csd> home school
92,S.Franklin,Irving Thalberg,MGM,The Good Earth,1937,bnw,Dram,***,H,Flanders csd> home school csd
93,LeSaint,Irving Thalberg,Universal,The Three Godfathers,1916,bws,West,***,H,Flanders csd> home school csd
94,W.DeMille,Irving Thalberg,Paramount,Craig's Wife,1928,bws,Romt,***,H,Flanders csd> home school csd
95,deAntoni,Irving Thalberg,Ceasar,Il processo Clemenceau,1917,bws,Dram,***,H,Flanders csd> home school csd
96,Werker,D.Markey,Fox,The Adventures of Sherlock Holmes,1939,bnw,Dram,***,H,London city
97,B.Keaton,B.Keaton,Metro-Goldwyn,Streamlined Swing,1938,bnw,Comd,***,H,London city afterlife csd theater sea public
98,Mari,Arturo Ambrosio,Ambrosio,Cenere,1917,bws,Dram,***,H,London city afterlife csd theater sea public
99,F.Lloyd,William Cagney,Cagney,Blood on the Sun,1945,bnw,Actn,*,H,Tokyo city
100,Geo.Marshall,Jack Rose,Paramount,Papa's Delicate Condition,1963,Tcol,Comd,0,H,Restful town home town
101,H.Lloyd,Jack Rose,Paramount,Feet First,1930,bws,Comd,0,H,Restful town home town school
102,J.Ford,Bernard~Smith,MGM,Seven Women,1966,$\Mcol,Dram,*,H,Fiji island
103,Robertson,Edward Butcher,Fox,Our Little Girl,1935,bnw,Horr,*,H,Fiji island csd
104,Baldwin,Edward Butcher,Universal,Amelita's Friend,1917,sbw,Horr,*,H,Fiji island csd
105,R.W.Neill,Howard Benedict,Universal,Dressed to Kill,1946,bnw,Susp,*,H,London city
106,Boleslawski,J.Mankiewicz,MGM,The Three Godfathers,1936,Tcol,West,v,H,Hollywood town theater
107,Schertzinger,Paul Jones,Paramount,The Fleet's In,1942,bnw,Comd,**,H,Navajo reservation csd
108,Brabin,Thalberg,MGM,The Mask of Fu Manchu,1932,bnw,Myst,**,H,Navajo reservation csd
109,vonStroheim,Thalberg,Paramount,Queen Kelly,1928,bws,Dram,**,H,S.F. city
110,Niblo,S.Goldwyn,MGM,The Mysterious Lady,1928,bws,Dram,0,H,L.A. town
111,Stahl,William A. Bacher,Fox,Oh You Beautiful Doll,1949,Tcol,Dram,0,H,NYC city city csd
112,J.Kaufman,William A. Bacher,Paramount,Song of Songs,1918,bws,Dram,0,H,NYC city city csd
113,K.Vidor,Carlo Ponti,DeLaurentiis,War and Peace,1956,Tcol,BioP ,*,AANdir,Paris city csd town work town
114,T.Browning,E.J. Mannix,MGM,The Devil Doll,1936,bnw,Horr,*,H,Paris city csd town work town am.park
115,Seiter,Howard Benedict,Universal,A Touch of Venus,1948,bnw,Romt,0,H,Macy's work
116,VanDyke,J.Mankiewicz,MGM,Cairo,1942,bnw,Dram,*,H,Cairo city
117,Albert~Parker,J.Mankiewicz,British Fox,Blind Man's Bluff,1936,bnw,Dram,0,H,Cairo city
118,Curtiz,Greenhut,MGM,The Adventures of Huckleberry Finn,1960,Mcol,Advt,*,H,Yale school home town sea hotel mil.inst
119,Badger,B.P. Schulberg,Warners,No No Nanette,1930,Tcol,Romt,0,H,Champs Elysees city
120,Chautard,Paramount,Warners,The Mystery of the Yellow Room,1919,bws,Myst,0,H,Champs Elysees city
121,F.Lang,Robert Arthur,Columbia,Die Tausend Augen des Dr.~Mabuse,1960,bnw,Susp,**,H,London csd csd city school
122,F.W.Murnau,Flaherty,Fox,Tabu,1931,bws,Romt,**,H,Tahiti island
123,Newmeyer,Roach,Fox,General Spanky,1936,sbw,Comd,***,H,Tahiti island work
124,Archainbaud,William C. Thomas,Paramount,Some Like It Hot,1939,bnw,Comd,0,H,Tahiti island work school airplane am.park
125,Fitzmaurice,Louis D. Lighton,MGM,The Kansan,1943,bnw,Dram,*,H,London city city
126,H.Beaumont,Hubbard,MGM,Murder in the Private Car,1934,bnw,Susp,*,H,Chicago city train
127,H.Ford,Hubbard,FPL,The Call of Youth,1920,bws,Dram,*,H,Chicago city train
128,Duvivier,A.Korda,London,Pot-Boullie,1957,bnw,Romt,*,H,Paris city
129,Schunzel,A.Korda,UFA,The Great Awakening,1941,bnw,Dram,v,H,Hamburg city
130,R.Oswald,A.Korda,UFA,The Lovable Cheat,1949,bws,Comd,v,H,Hamburg city
131,Wiene,Erich Pommer,Decla-Bioscoop,The Hands of Orlac,1924,bnw,Horr,***,H,Hamburg city hospital
132,Cl.Brown,Cl.Brown,MGM,Angels in the Outfield,1952,bnw,Romt,0,H,Oxford town sports
133,Dreyer,Nicholas DeGunzburg,Palladium ,Ordet,1955,bnw,Dram,***,H,Courtempierre town csd estate
134,Bernhardt,Bernhardt,Warners,Kisses for My President,1964,bnw,Comd,0,H,Washington city
135,Borzage,S.Franklin,MGM,Moonrise,1949,bnw,Dram,**,H,NYC city jail
136,Cutts,Balcon,ATP,Just William,1927,sbw,Comd,**,H,NYC city jail
137,Righelli,Balcon,Pert-Pittalunga,Peddlin' in Society,1946,bws,Romt,**,H,NYC city jail
138,Blanche,Balcon,Pert-Pittalunga,The Saphead,1921,cld,Comd,**,H,NYC city
139,H.Wilcox,H.Wilcox,British Lion,The Man Who Wouldn't Talk,1957,bnw,Dram,0,H,London city estate
140,Horne,Stan Laurel,Columbia,Holt of the Secret Sevice,1942,bnw,Comd,0,H,London city estate desert csd
141,Delluc,Stan Laurel,Columbia,L'innodation,1924,bnw,Comd,0,H,London city estate desert csd
142,L.Poirier,Stan Laurel,Columbia,Narayana,1920,bnw,Fant,0,H,Cote resort
143,R.Flaherty,Alexander Korda,Gainsborough,Elephant Boy,1937,bnw,Docu,**,H,Safune island island
144,S.Wood,Jack Cummins,RKO,Ambush,1950,col,BioP,0,H,Paris city
145,V.Fleming,Wanger,MGM,Joan of Arc,1948,Tcol,Dram,0,H,Monterey town
146,Heerman,Wanger,Paramount ,Animal Crackers,1930,bnw,Comd,***,H,Rittenhouse manor estate
147,UnYear20,Wanger,Paramount ,Within Our Gates,1920,bnw,Comd,-,H,Rittenhouse manor estate
148,Brunel,Balcon,Islington,The Constant Nymph,1927,bnw,Romt,*,H,Rittenhouse manor estate csd
149,Deed,Balcon,Milano,L'Uomo Meccanico,1921,bws,Romt,*,H,Rittenhouse manor estate csd
150,Sedgwick,Lawrence Weingarten,MGM,Speak Easily,1932,bnw,Comd,***,H,NYC city
151,E.H.Griffith,Edward H. Griffith,RKO,The Sky's the Limit,1943,bnw,Comd,0,H,NYC city bar
152,Richter,Edward H. Griffith,RKO,dadascope,1961,bnw,Surr,***,VIP,NYC city bar
153,Rosen,Edward H. Griffith,Monogram,The Red Dragon,1945,bnw,Comd,***,VIP,Washington city
154,R.Ince,Irving Asher,Warners,The Man Who Made Diamonds,1937,bnw,Susp,v,H,Washington city casino csd
155,Smallwood,Irving Asher,Warners,Camille,1921,bnw,Dram,v,H,Washington city casino csd
156,Rex~Ingram,Irving Asher,Warners,Love in Morocco,1933,sbw ,Dram,v,H,Washington city casino csd
157,Sam~Taylor,B.F. Ziedman,MGM,Nothing But Trouble,1945,bnw,Comd,0,H,Washington city casino csd
158,Mayakowski,B.F. Ziedman,MGM,The Bedbug,1929,bnw,Comd,0,H,Washington city casino csd
159,UnYear21,B.F. Ziedman,MGM,The Great Impersonation,1921,bnw,Comd,0,H,Washington city casino csd
160,C.Bryant,B.F. Ziedman,MGM,Salome,1922,bws,Dram,0,H,Washington city casino csd
161,D.Murphy,Fernand Leger,MGM,Emperor Jones,1933,bws,Surr,0,H,Washington city casino csd
162,Newmeyer,Fernand Leger,MGM,Doctor Jack,1922,bws,Comd,0,H,Washington city casino csd
163,J.Epstein,Fernand Leger,Gaumont,Le Tempestaire,1947,bws,Horr,0,H,Washington city casino csd
164,Berger,Rudolf Meyer,Cinetone,Ergens in Nederland,1937,bnw,Dram,0,H,Washington city casino csd
165,Se.Hicks,Rudolf Meyer,Cinetone,Pastor Hall,1939,bnw,Dram,0,H,Washington city casino csd
166,Ruggles,Ruggles,Columbia,Too Many Husbands,1938,bnw,Romt,**,H,Paris city town
167,Genina,Ruggles,Nero,Scampolo,1928,bws,Comd,**,H,Paris city town
168,Crosland,Edmund Grainger,Universal,The Great Impersonation,1935,bnw,Advt,*,H,"Chinatown, S.F. city"
169,B.King,Edmund Grainger,Universal,None so Blind,1923,bws,Advt,*,H,"Chinatown, S.F. city"
170,Mitchell,Edmund Grainger,Chronicles of America,Daniel Boone,1923,bws,BioP,*,H,"Chinatown, S.F. city"
171,G.Hill,Sol Lesser,Principal,Tarzan the Fearless,1933,bnw,Dram,*,H,"Chinatown, S.F. city jail"
172,G.W.Pabst,Sofar,Germany,"M\""adchen in Uniform",1957,bnw,Docu,**,H,London city wwork work
173,Grune,Sofar,Germany,Pagliacci,1935,bnw,Docu,v,H,London city wwork work
174,Mizoguchi,Sofar,Germany,Streets of Shame,1956,col,Dram,v,H,Kyoto city town town
175,Man~Ray,Sofar,Germany,L'Etoile de mer,1929,col,Dram,v,H,Kyoto city town town
176,Clair,Clair,AYJM,Les Belles de Nuit,1952,bnw,Dram,***,H,Casario palace island
177,McGowan,McGowan,Monogram,Tomboy,1940,bnw,Romt,***,H,Casario palace island csd school csd
178,Julian,Laemle~jr,Universal,The Cat Creeps,1930,bnw,Horr,***,H,Paris city
179,Whelan,Robert Fellows,RKO,Rage at Dawn,1955,bnw,Dram,*,H,NYC city resort town hotel
180,Beaudine,Jack Broder,Monogram,Bela Lugosi Meets a Brooklyn Gorilla,1952,bnw,Comd,0,H,NYC city resort town hotel
181,Stromberg,Stromberg,Monogram,Breaking into Society,1923,bnw,Comd,0,H,NYC city resort town hotel
182,Wellman,Wayne-Fellows,Batjac,The Track of the Cat,1954,Wcol,Advt,*,AANdir,London city mil.inst csd airplane
183,Worsley,Wayne-Fellows,Universal,The Perfect Crime,1928,bws,CnRb,**,H,London city mil.inst csd airplane
184,UnYear23,Wayne-Fellows,Universal,Gold Diggers,1923,bws,Musc,**,H,London city mil.inst csd airplane
185,E.Hopper,Wayne-Fellows,MGM,Janice Meredith,1924,bws,Dram,0,H,London city mil.inst csd airplane
186,Lamprecht,Wayne-Fellows,Lamprecht Film,Emil und die Detective,1931,bws,Advt,0,H,Berlin slum
187,F.Leger,Wayne-Fellows,Lamprecht Film,Le ballet mechanique,1924,bnw,Advt,0,H,Berlin slum
188,J.Renoir,Valentine Brosio,Warners,Le Petit Theatre de Jean Renoir,1969,col,Romt,0,H,Paris city
189,Leni,Valentine Brosio,Universal,The Man Who Laughs,1928,bnw,Susp,***,H,Paris city
190,S.E.V.Taylor,Selznick,Aetna,"Du Barry, Woman of Passion",1930,bnw,Dram,***,H,Paris city
191,Eisenstein,Eisenstein,Mosfilm,"Ivan the Terrible, part III",1946,,BioP,**,W50,Moscow city
192,Dieudonne,J.Renoir,Mosfilm,Catherine,1924,,BioP,**,W50,Moscow city
193,Buchowetzski,J.Renoir,Paramount,Lily of the Dust,1924,bws,Romt,**,W50,Moscow city
194,W.K.Howard,Wanger,Pendennis,Johnny Come Lately,1943,bnw,Dram,Gore Vidal,VIP,Moscow city
195,A.E.Sutherland,Charlie~Feldman,Universal,Follow the Boys,1944,bnw,Musc,*,H,Moscow city river island mil.inst.
196,A.Goulding,H.Roach,Universal,A Chump at Oxford,1939,bnw,Comd,**,H,Oxford town
197,Fanck,H.Roach,Universal,\UN,1925,bnw,Actn,**,H,Oxford town
198,Ch.Reisner,George Haight,MGM,The Travelling Saleswoman,1950,bnw,Comd,*,H,Mississippi river river store
199,Lamont,Milton Subotsky,Universal,The World of Abbott and Costello,1965,bnw,Comd,*,H,Paris city
200,Dupont,Milton Subotsky,UFA,Vaudeville,1925,bws,Dram,**,H,Paris city
201,E.Goulding,Nunally~J.,Fox,We're not Married,1952,bnw,Musc,0,H,NYC city
202,Sloman,Nunally~J.,MGM,There's Always Tomorrow,1934,bnw,Dram,0,H,NYC city
203,LaCava,LaCava,RKO,The Primrose Path,1940,bnw,Comd,0,H,NYC city
204,Blystone,Stan Laurel,Great National,Blockheads,1938,bnw,Comd,***,H,NYC city work
205,I.Cummings,Cummings,RKO,Double Dynamite,1951,bnw,Comd,0,H,Hollywood town bar
206,Gasnier,B.P. Schulberg,Paramount,Parisian Love,1925,bws,Romt,0,H,Paris city
207,Milesstone,Milestone,Warners,Ocean's Eleven,1960,Tcol,CnRb,*,H,Paris csd city sea resort
208,Mo.Bell,Hunt Stromberg,MGM,The Torrent,1925,bws,Dram,*,H,Paris city
209,Sloane,Hunt Stromberg,Paramount,Too many Kisses,1925,bws,Comd,*,H,Paris city
210,Sternberg,H.Hughes,Arnold Productions,Jet Pilot,1957,Tcol,Epic,***,H,Shanghai city city airplane
211,Dickinson,Sidney Cole,Ealing,Hill 24 Doesn't Answer,1955,bnw,Susp,*,H,London city
212,Wyler,Ronald Lubin ,Columbia,The Liberation of L.B. Jones,1970,Tcol,Susp,*,H,NYC city
213,Cavalcanti,Michael Balcon,Ealing,Yerma,1962,bnw,Comd,v,H,London city
214,Mayo,Charles R. Rogers,U.A.,Angel On My Shoulder,1946,bnw,Fant,**,H,Casablanca city
215,Rogell,Burt Kelly,Universal,Men Agains Speed,1958,bnw,Actn,*,H,Casablanca city work ship train train home afterlife
216,Schoedsack,M.C.Cooper,RKO,Mighty Joe Young,1949,bnw,Advt,****,H,NYC island city island csd school
217,Capra,Frank Sinatra,CBS,Our Mr.Sun,1947,TV,ScFi,*,H,NYC city
218,Machaty,Machaty ,Republic,Jealousy,1945,bnw,Dram,*,H,NYC city csd
219,Brignone,Machaty ,FertPittalunga,Maciste in Hell,1926,bws,Actn,*,H,NYC city csd
220,Hawks,Hawks,Paramount,Rio Lobo,1970,col,West,*,H,Paris ship city
221,Bacon,Edmund Granger,RKO,The French Line,1954,col,Comd,*,H,Paris csd ship city
222,Kuleshov,Edmund Granger,RKO,The Journalist,1927,bnw,Comd,*,H,Yukon csd
223,M.Webb,Ziegfeld,RKO,Glorifying the American Girl,1929,Tcol,Musc,*,H,Yukon csd sea
224,StClair,Ziegfeld,Paramount,The Show-Off,1926,bws,Comd,*,H,Yukon csd sea
225,R.West,Ziegfeld,Paramount,The Bat,1926,bws,Fant,*,H,Yukon csd sea
226,R.V.Lee,Small,U.A.,The Bridge of San Luis Rey,1944,bnw,Advt,*,H,Frankenstein palace
227,Ray~Taylor,Small,Columbia,The Spider's Web,1938,bnw,Susp,0,H,Frankenstein palace
228,Pudovkin,Small,Columbia,General Suorov,1941,bws,Dram,0,H,Frankenstein palace
229,Dieterle,Irving Asher,Paramount,Magic Fire,1956,Tcol,Musc,*,H,Las Vegas city city town csd
230,Unknown55,Irving Asher,Paramount,Lili Marlene,1927,Tcol,Musc,*,H,Las Vegas city city town csd
231,Jacobson,Irving Asher,Paramount?,The Noose,1927,sbw ,Musc,*,H,Las Vegas city city town csd
232,Barret,Irving Asher,Paramount?,Moskow In October,1927,bnw,Musc,*,H,Las Vegas city city town csd
233,Haskin,Pal,Paramount,Robinson Crusoe on Mars,1964,Tcol,ScFi,*,H,New Orleans city space
234,Bruckman,Harold Lloyd,Republic,The Man on The Flying Trapeze,1935,bnw,Comd,**,H,New Orleans city space csd sports movies
235,D.Butler,William Jacobs,England,Calamity Jane,1953,Tcol,Musc,0,H,Las Vegas city museum
236,Arzner,Berman,RKO,Dance Girl Dance,1940,bnw,Musc,*,H,NYC city
237,D.MacDonald,Hamilton Inglis,ABPC,The Moonraker,1958,col,Advt,*,H,NYC city town palace sea bar
238,Vertov,Hamilton Inglis,ABPC,In the Line of Fire,1941,col,Dram,*,H,NYC city town palace sea bar
239,Tuttle,Richard. M. Blumenthal,Fox,Hell on Frisco Bay,1955,bnw,Comd,0,H,S.F. city
240,DArrast,Selznick,Paramount-Publix,Topaze,1933,bnw,Comd,*,H,NYC city
241,Bretherton,Selznick,Monogram,The Trap,1947,bnw,Comd,not,H,NYC city
242,J.Nelson,Selznick,Monogram,The Shamrock and the Rose,1927,bws,Comd,not,H,NYC city
243,Tinling,Wurtzel,Fox,Tales of Robin Hood,1952,bnw,Advt,0,H,Shanghai city csd casino
244,L.Mendes,A.Korda,US,Flight for Freedom,1943,bnw,Actn,**,H,Shanghai city csd casino airplane
245,Seiler,Irving Starr,Fox,Something for the Boys,1944,Tcol,Musc,0,H,Pittsburgh city csd
246,DeKobra,Irving Starr,Fox,La Sir\`ene des Tropiques,1927,Tcol,Musc,0,H,Pittsburgh city csd
247,M.LeRoy,Fred Kohlmar,Columbia,The Devil at Four o'clock,1960,Ecol,Dram,0,H,NYC city csd town island
248,Florey,Hitchcock,Shamley,Where Beauty Lies,1962,TV,Susp,*,H,Hollywood town town town town
249,Enright,Frank Lloyd,RKO,Man Alive,1945,bnw,Dram,0,H,NYC city csd
250,Ri.Wallace,Stephen Ames,RKO,Sinbad the Sailor,1946,Tcol,Advt,0,H,Arabia
251,Leonard,Joe Pasternak,MGM,The Duchess of Idaho,1950,Tcol,Musc,0,H,Sun Valley town
252,T.Wilde,Joe Pasternak,MGM,Speedy,1928,Tcol,Comd,0,H,NYC city
253,V.Saville,V.Saville,Gainsborough,Evergreen,1934,bnw,Dram,***,H,NYC city mil.inst. train
254,Ruttmann,V.Saville,Fox-Europa,Berlin: die Symphonie einer Grossstadt,1927,bws,Docu,***,H,Berlin city
255,Arlen,V.Saville,Fox-Europa,The Green Hat,1928,bws ,Docu,***,H,Berlin city
