,dir_name,prod_name,studio_name,title,year,prc,cat,awattr,awtype,location
40,M.Tourneur,,,Au nom de la loi,1931,,,**,AAN,
41,Mercanton,,,Queen Elizabeth,1912,,,**,AAN,
42,Weber,,,Shoes,1920,,,**,AAN,
43,Elvey,,,My Wife's Lodger,1952,,,0,H,
44,Mack~Sennett,,,Fatty and Mabel's Simple Life,1915,,,0,H,
45,M.Stiller,,,Street of Sin,1928,,,*,H,
46,Olcott,,,Monsieur Beaucaire,1924,,,*,H,
47,Seastrom,,,The Wind,1927,,,***,H,
48,UnYear12,,,Within the Law,1923,,,***,H,
49,Rodolfo,,,The Last Days of Pompeii,1913,,,***,H,
50,Oxilia,,,Rhapsodia Satanica,1917,,,***,H,
51,Gonsalvi,,,"Fedora, or Piu Forte dell'Odio e Amore",1913,,,***,H,
52,George,,,Blade O'Grass,1915,,,***,H,
53,DeMille,,,The Ten Commandments,1956,,,*,H,
54,Guazzoni,,,Anthony and Cleopatra,1913,,,*,H,
55,Seitz,,,Andy Hardy's Blonde Trouble,1944,,,0,H,
56,Haldane,,,East Lynne,1913,,,0,H,
57,Phalke,,,Raja Harishchandra,1913,,,0,H,
58,Brenon,,,Beau Ideal,1931,,,0,H,
59,Schomburgk,,,Abschied von Afrika,1956,,,0,H,
60,Wegener,,,Der Golem,1920,,,0,H,
61,Unknown42,,,Tarzan the Mighty,1928,,,0,H,
62,DegliAbbati,,,The Memory of the Other,1914,,,0,H,
63,A.Korda,,,An Ideal Husband,1947,,,Winston Churchill's favorite movie,VIP,
64,Chaplin,,,A Countess from Hong Kong,1966,,,***,H,
65,Gallone,,,Carmen di Travestere,1962,,,***,H,
66,C.Campbell,,,The Spoilers,1914,,,***,H,
67,Wilhelm,,,Der Stolz der Firma,1914,,,***,H,
68,E.Curtis,,,In The Land of the War Canoes,1914,,,***,H,
69,Lubitsch,,,Cluny Brown,1946,,,***,H,
70,Fosco,,,Hedda Gabler,1919,,,***,H,
71,R.Barker,,,The Typhoon,1914,,,***,H,
72,Santell,,,The Hairy Ape,1944,,,0,H,
73,Carewe,,,Are We Civilized?,1934,,,*,H,
74,Dulac,,,La Coquille et le Clergyman,1926,,,*,H,
75,Melford,,,The Light That Failed,1940,,,*,H,
76,Serena,,,The Woman of the Camelias,1915,,,*,H,
77,Adolfi,,,Voltaire,1933,,,0,H,
78,G Edwards,,,It's the Law,1924,,,0,H,
79,J.May,,,Johnny Doen't Live Here Any More,1944,,,0,H,
80,L.West,,,The Corporal's Daughter,1915,,,0,H,
81,Feuillade,,,Judex,1917,,,0,H,
82,Walsh,,,A Distant Trumpet,1964,,,0,H,
83,Guitry,,,Assassins et Voleurs,1957,,,0,H,
84,W.D.Taylor,,,Huckleberry Finn,1920,,,0,H,
85,Unknown15,,,The Dancer of Paris,1928,,,0,H,
86,A.Bragaglia,,,Thais,1916,,,0,H,
87,Gance,,,Austerlitz,1960,,,****,H,
88,Cline,,,Jiggs and Maggie in Court,1948,,,****,H,
89,H.King,,,Tender is the Night,1961,,,0,H,
90,Feyder,,,La Lois du Nord,1939,,,**,H,
91,Neilan,,,Sweethearts on Parade,1930,,,**,H,
92,S.Franklin,,,The Good Earth,1937,,,***,H,
93,LeSaint,,,The Three Godfathers,1916,,,***,H,
94,W.DeMille,,,Craig's Wife,1928,,,***,H,
95,deAntoni,,,Il processo Clemenceau,1917,,,***,H,
96,Werker,,,The Adventures of Sherlock Holmes,1939,,,***,H,
97,B.Keaton,,,Streamlined Swing,1938,,,***,H,
98,Mari,,,Cenere,1917,,,***,H,
99,F.Lloyd,,,Blood on the Sun,1945,,,*,H,
100,Geo.Marshall,,,Papa's Delicate Condition,1963,,,0,H,
101,H.Lloyd,,,Feet First,1930,,,0,H,
102,J.Ford,,,Seven Women,1966,,,*,H,
103,Robertson,,,Our Little Girl,1935,,,*,H,
104,Baldwin,,,Amelita's Friend,1917,,,*,H,
105,R.W.Neill,,,Dressed to Kill,1946,,,*,H,
106,Boleslawski,,,The Three Godfathers,1936,,,v,H,
107,Schertzinger,,,The Fleet's In,1942,,,**,H,
108,Brabin,,,The Mask of Fu Manchu,1932,,,**,H,
109,vonStroheim,,,Queen Kelly,1928,,,**,H,
110,Niblo,,,The Mysterious Lady,1928,,,0,H,
111,Stahl,,,Oh You Beautiful Doll,1949,,,0,H,
112,J.Kaufman,,,Song of Songs,1918,,,0,H,
113,K.Vidor,,,War and Peace,1956,,,*,AANdir,
114,T.Browning,,,The Devil Doll,1936,,,*,H,
115,Seiter,,,A Touch of Venus,1948,,,0,H,
116,VanDyke,,,Cairo,1942,,,*,H,
117,Albert~Parker,,,Blind Man's Bluff,1936,,,0,H,
118,Curtiz,,,The Adventures of Huckleberry Finn,1960,,,*,H,
119,Badger,,,No No Nanette,1930,,,0,H,
120,Chautard,,,The Mystery of the Yellow Room,1919,,,0,H,
121,F.Lang,,,Die Tausend Augen des Dr.~Mabuse,1960,,,**,H,
122,F.W.Murnau,,,Tabu,1931,,,**,H,
123,Newmeyer,,,General Spanky,1936,,,***,H,
124,Archainbaud,,,Some Like It Hot,1939,,,0,H,
125,Fitzmaurice,,,The Kansan,1943,,,*,H,
126,H.Beaumont,,,Murder in the Private Car,1934,,,*,H,
127,H.Ford,,,The Call of Youth,1920,,,*,H,
128,Duvivier,,,Pot-Boullie,1957,,,*,H,
129,Schunzel,,,The Great Awakening,1941,,,v,H,
130,R.Oswald,,,The Lovable Cheat,1949,,,v,H,
131,Wiene,,,The Hands of Orlac,1924,,,***,H,
132,Cl.Brown,,,Angels in the Outfield,1952,,,0,H,
133,Dreyer,,,Ordet,1955,,,***,H,
134,Bernhardt,,,Kisses for My President,1964,,,0,H,
135,Borzage,,,Moonrise,1949,,,**,H,
136,Cutts,,,Just William,1927,,,**,H,
137,Righelli,,,Peddlin' in Society,1946,,,**,H,
138,Blanche,,,The Saphead,1921,,,**,H,
139,H.Wilcox,,,The Man Who Wouldn't Talk,1957,,,0,H,
140,Horne,,,Holt of the Secret Sevice,1942,,,0,H,
141,Delluc,,,L'innodation,1924,,,0,H,
142,L.Poirier,,,Narayana,1920,,,0,H,
143,R.Flaherty,,,Elephant Boy,1937,,,**,H,
144,S.Wood,,,Ambush,1950,,,0,H,
145,V.Fleming,,,Joan of Arc,1948,,,0,H,
146,Heerman,,,Animal Crackers,1930,,,***,H,
147,UnYear20,,,Within Our Gates,1920,,,-,H,
148,Brunel,,,The Constant Nymph,1927,,,*,H,
149,Deed,,,L'Uomo Meccanico,1921,,,*,H,
150,Sedgwick,,,Speak Easily,1932,,,***,H,
151,E.H.Griffith,,,The Sky's the Limit,1943,,,0,H,
152,Richter,,,dadascope,1961,,,***,VIP,
153,Rosen,,,The Red Dragon,1945,,,***,VIP,
154,R.Ince,,,The Man Who Made Diamonds,1937,,,v,H,
155,Smallwood,,,Camille,1921,,,v,H,
156,Rex~Ingram,,,Love in Morocco,1933,,,v,H,
157,Sam~Taylor,,,Nothing But Trouble,1945,,,0,H,
158,Mayakowski,,,The Bedbug,1929,,,0,H,
159,UnYear21,,,The Great Impersonation,1921,,,0,H,
160,C.Bryant,,,Salome,1922,,,0,H,
161,D.Murphy,,,Emperor Jones,1933,,,0,H,
162,Newmeyer,,,Doctor Jack,1922,,,0,H,
163,J.Epstein,,,Le Tempestaire,1947,,,0,H,
164,Berger,,,Ergens in Nederland,1937,,,0,H,
165,Se.Hicks,,,Pastor Hall,1939,,,0,H,
166,Ruggles,,,Too Many Husbands,1938,,,**,H,
167,Genina,,,Scampolo,1928,,,**,H,
168,Crosland,,,The Great Impersonation,1935,,,*,H,
169,B.King,,,None so Blind,1923,,,*,H,
170,Mitchell,,,Daniel Boone,1923,,,*,H,
171,G.Hill,,,Tarzan the Fearless,1933,,,*,H,
172,G.W.Pabst,,,"M\""adchen in Uniform",1957,,,**,H,
173,Grune,,,Pagliacci,1935,,,v,H,
174,Mizoguchi,,,Streets of Shame,1956,,,v,H,
175,Man~Ray,,,L'Etoile de mer,1929,,,v,H,
176,Clair,,,Les Belles de Nuit,1952,,,***,H,
177,McGowan,,,Tomboy,1940,,,***,H,
178,Julian,,,The Cat Creeps,1930,,,***,H,
179,Whelan,,,Rage at Dawn,1955,,,*,H,
180,Beaudine,,,Bela Lugosi Meets a Brooklyn Gorilla,1952,,,0,H,
181,Stromberg,,,Breaking into Society,1923,,,0,H,
182,Wellman,,,The Track of the Cat,1954,,,*,AANdir,
183,Worsley,,,The Perfect Crime,1928,,,**,H,
184,UnYear23,,,Gold Diggers,1923,,,**,H,
185,E.Hopper,,,Janice Meredith,1924,,,0,H,
186,Lamprecht,,,Emil und die Detective,1931,,,0,H,
187,F.Leger,,,Le ballet mechanique,1924,,,0,H,
188,J.Renoir,,,Le Petit Theatre de Jean Renoir,1969,,,0,H,
189,Leni,,,The Man Who Laughs,1928,,,***,H,
190,S.E.V.Taylor,,,"Du Barry, Woman of Passion",1930,,,***,H,
191,Eisenstein,,,"Ivan the Terrible, part III",1946,,,**,W50,
192,Dieudonne,,,Catherine,1924,,,**,W50,
193,Buchowetzski,,,Lily of the Dust,1924,,,**,W50,
194,W.K.Howard,,,Johnny Come Lately,1943,,,Gore Vidal,VIP,
195,A.E.Sutherland,,,Follow the Boys,1944,,,*,H,
196,A.Goulding,,,A Chump at Oxford,1939,,,**,H,
197,Fanck,,,\UN,1925,,,**,H,
198,Ch.Reisner,,,The Travelling Saleswoman,1950,,,*,H,
199,Lamont,,,The World of Abbott and Costello,1965,,,*,H,
200,Dupont,,,Vaudeville,1925,,,**,H,
201,E.Goulding,,,We're not Married,1952,,,0,H,
202,Sloman,,,There's Always Tomorrow,1934,,,0,H,
203,LaCava,,,The Primrose Path,1940,,,0,H,
204,Blystone,,,Blockheads,1938,,,***,H,
205,I.Cummings,,,Double Dynamite,1951,,,0,H,
206,Gasnier,,,Parisian Love,1925,,,0,H,
207,Milesstone,,,Ocean's Eleven,1960,,,*,H,
208,Mo.Bell,,,The Torrent,1925,,,*,H,
209,Sloane,,,Too many Kisses,1925,,,*,H,
210,Sternberg,,,Jet Pilot,1957,,,***,H,
211,Dickinson,,,Hill 24 Doesn't Answer,1955,,,*,H,
212,Wyler,,,The Liberation of L.B. Jones,1970,,,*,H,
213,Cavalcanti,,,Yerma,1962,,,v,H,
214,Mayo,,,Angel On My Shoulder,1946,,,**,H,
215,Rogell,,,Men Agains Speed,1958,,,*,H,
216,Schoedsack,,,Mighty Joe Young,1949,,,****,H,
217,Capra,,,Our Mr.Sun,1947,,,*,H,
218,Machaty,,,Jealousy,1945,,,*,H,
219,Brignone,,,Maciste in Hell,1926,,,*,H,
220,Hawks,,,Rio Lobo,1970,,,*,H,
221,Bacon,,,The French Line,1954,,,*,H,
222,Kuleshov,,,The Journalist,1927,,,*,H,
223,M.Webb,,,Glorifying the American Girl,1929,,,*,H,
224,StClair,,,The Show-Off,1926,,,*,H,
225,R.West,,,The Bat,1926,,,*,H,
226,R.V.Lee,,,The Bridge of San Luis Rey,1944,,,*,H,
227,Ray~Taylor,,,The Spider's Web,1938,,,0,H,
228,Pudovkin,,,General Suorov,1941,,,0,H,
229,Dieterle,,,Magic Fire,1956,,,*,H,
230,Unknown55,,,Lili Marlene,1927,,,*,H,
231,Jacobson,,,The Noose,1927,,,*,H,
232,Barret,,,Moskow In October,1927,,,*,H,
233,Haskin,,,Robinson Crusoe on Mars,1964,,,*,H,
234,Bruckman,,,The Man on The Flying Trapeze,1935,,,**,H,
235,D.Butler,,,Calamity Jane,1953,,,0,H,
236,Arzner,,,Dance Girl Dance,1940,,,*,H,
237,D.MacDonald,,,The Moonraker,1958,,,*,H,
238,Vertov,,,In the Line of Fire,1941,,,*,H,
239,Tuttle,,,Hell on Frisco Bay,1955,,,0,H,
240,DArrast,,,Topaze,1933,,,*,H,
241,Bretherton,,,The Trap,1947,,,not,H,
242,J.Nelson,,,The Shamrock and the Rose,1927,,,not,H,
243,Tinling,,,Tales of Robin Hood,1952,,,0,H,
244,L.Mendes,,,Flight for Freedom,1943,,,**,H,
245,Seiler,,,Something for the Boys,1944,,,0,H,
246,DeKobra,,,La Sir\`ene des Tropiques,1927,,,0,H,
247,M.LeRoy,,,The Devil at Four o'clock,1960,,,0,H,
248,Florey,,,Where Beauty Lies,1962,,,*,H,
249,Enright,,,Man Alive,1945,,,0,H,
250,Ri.Wallace,,,Sinbad the Sailor,1946,,,0,H,
251,Leonard,,,The Duchess of Idaho,1950,,,0,H,
252,T.Wilde,,,Speedy,1928,,,0,H,
253,V.Saville,,,Evergreen,1934,,,***,H,
254,Ruttmann,,,Berlin: die Symphonie einer Grossstadt,1927,,,***,H,
255,Arlen,,,The Green Hat,1928,,,***,H,
256,W.Lang,,,Snowwhite and the Three Stooges,1961,,,*,H,
257,Donatien,,,L'Arp\`ete,1928,,,*,H,
258,Ozu,,,Early Autumn,1962,,,v,H,
259,Asquith,,,The VIPs,1963,,,**,H,
260,Feist,,,Donovan's Brain,1953,,,*,H,
261,Ravel,,,Figaro,1928,,,*,H,
262,Bolvary,,,Number Seventeen,1928,,,*,H,
263,Lachman,,,Castle in the Desert,1942,,,*,H,
264,Langdon,,,The Chaser,1928,,,*,H,
265,McRae,,,Tarzan the Tiger,1928,,,0,H,
266,Montagu,,,Day Dreams,1934,,,0,H,
267,Bunuel,,,Cet obscur objet du d\'esir,1977,,,*,H,
268,Jason,,,Okinawa,1952,,,0,H,
269,Lindtberg,,,Daughter of the Storm,1954,,,gold,Baer,
270,Hubbard,,,Mysterious Island,1929,,,*,H,
271,Kalatozov,,,The Red Tent,1969,,,*,H,
272,Taurog,,,Speedway,1967,,,0,H,
273,R.Thorpe,,,Jailhouse Rock,1957,,,0,H,
274,Garnett,,,The Delta Factor,1970,,,*,H,
275,W.Forde,,,It's that Man Again,1942,,,**,H,
276,Disney,,,The Three Caballeros,1945,,,***,H,
277,Dovzhenko,,,Life in Blossom,1947,,,**,H,
278,Robinson,,,The Informer,1929,,,**,H,
279,Viertel,,,Rhodes of Africa,1931,,,0,H,
280,Junghans,,,So ist das Leben,1929,,,0,H,
281,Gaziadis,,,Ramona,1929,,,0,H,
282,E.Laemmle,,,Der Teufelsreporter,1929,,,0,H,
283,F.R.Jones,,,Bulldog Drummond,1929,,,*,H,
284,Abbott,,,Too Many Girls,1940,,,0,H,
285,Schwarz,,,The Wonderful Life of Nina Petrovna,1929,,,0,H,
286,Pollard,,,Show Boat,1929,,,0,H,
287,Cromwell,,,The Company She Keeps,1951,,,0,H,
288,Dillon,,,Call Her Savage,1932,,,0,H,
289,Trauberg,,,Blue Express,1929,,,0,H,
290,deLimur,,,The Letter,1929,,,*,H,
291,Gremillon,,,Pattes Blanches,1949,,,*,H,
292,Santley,,,Brazil,1944,,,*,H,
293,Barrymore,,,Ten Cents A dance,1931,,,*,H,
294,McCarey,,,Heaven Knows Mr.~Allison,1957,,,**,H,
295,L.Reed,,,Hit the Deck,1930,,,0,H,
296,Rogers,,,Not a Hope in Hell,1960,,,0,H,
297,Donskoi,,,Nadyezhda,1973,,,***,H,
298,N.Lee,,,The Girl who Couldn't Quite,1950,,,not,H,
299,Jutzi,,,Berlin-Alexanderplatz,1931,,,not,H,
300,delRuth,,,Why Must I Die?,1960,,,0,H,
301,Mamoulian,,,Silk Stockings,1957,,,*,H,
302,R.Siodmak,,,The Crimson Pirate,1952,,,***,H,
303,Freeland,,,Too Many Blondes,1941,,,0,H,
304,Ruggiero,,,La Iocandiera,1929,,,0,H,
305,Hochbaum,,,"Br\""uder",1929,,,0,H,
306,Thiele,,,Madonna's Secret,1946,,,Eastman: 10 best classic,VIP,
307,Gastyne,,,St.Joan -- The Maid,1929,,,Eastman: 10 best classic,VIP,
308,Unknown49,,,Symphony in Black,1935,,,Eastman: 10 best classic,VIP,
309,Dean,,,Twenty-one Days,1939,,,0,H,
310,J.B.Williams,,,The Chinese Bungalow,1930,,,0,H,
311,Cukor,,,Rich and Famous,1981,,,**,CG,
312,dAbbabie,,,Topaze,1933,,,**,CG,
313,H.Hughes,,,Vendetta,1950,,,*,H,
314,MacFadden,,,Second Hand Wife,1933,,,*,H,
315,Henley,,,Bad Sister,1931,,,*,H,
316,H.Carver,,,The Silent Enemy,1930,,,*,H,
317,Brahm,,,Hot Rods to Hell,1967,,,*,H,
318,Cocteau,,,Le Testament d'Orph\'ee,1959,,,**,H,
319,Parrott,,,"Sing, Sister, Sing",1935,,,v,H,
320,Vigo,,,L'Atalante,1934,,,**,H,
321,Whale,,,Green Hell,1940,,,*,H,
322,Schwab,,,Follow Thru,1930,,,*,H,
323,deOliveira,,,The Letter,1999,,,*,H,
324,Max~Ophuls,,,Banana Peel,1968,,,*,H,
325,Sandrich,,,Here Come the Waves,1944,,,*,H,
326,Grinde,,,Before I Hang,1940,,,*,H,
327,Bernard,,,Tarakanova,1930,,,*,H,
328,Milton,,,Westward Passage,1932,,,*,H,
329,Bennet,,,The Bounty Killer,1965,,,0,H,
330,Dudow,,,"K\""uhle Wampe",1932,,,0,H,
331,Unknown11,,,They Knew What They Wanted,1930,,,0,H,
332,UnYear30,,,Too Young to Marry,1931,,,0,H,
333,C.Wiene,,,So Lang noch ein Waltzer von Strauss Erklingt,1931,,,0,H,
334,E.L.Cahn,,,Inside the Mafia,1959,,,0,H,
335,Greville,,,The Hands of Orlac,1961,,,0,H,
336,Kortner,,,Lysistrata,1962,,,0,H,
337,Gerrard,,,Out of the Blue,1931,,,0,H,
338,G.King,,,The Shop at Sly Corner,1946,,,0,H,
339,Argyle,,,Send For Paul Temple,1931,,,0,H,
340,J.Newman,,,The Second Wife,1965,,,**,H,
341,J.White,,,Sidewalks of New York,1931,,,**,H,
342,J.W.Ruben,,,Public Hero Number One,1935,,,0,H,
343,LHerbier,,,The Queen's Necklace,1947,,,*,H,
344,M.Allegret,,,Lady Chatterley's Lover,1955,,,0,H,
345,Banks,,,Great Guns,1941,,,*,H,
346,McLeod,,,Casanova's Big Night,1954,,,0,H,
347,Laskos,,,Daphnis and Chloe,1931,,,0,H,
348,Micheaux,,,The Exile,1931,,,0,H,
349,S.Walker,,,Bulldog Drummond's Bride,1939,,,*,H,
350,Menzies,,,Invaders From Mars,1954,,,0,H,
351,Frohlich,,,"Luise, K\""onigin von Preussen",1931,,,0,H,
352,Y.Allegret,,,Les Orgeilleux,1953,,,0,H,
353,DeFilippo,,,Side Street Story,1952,,,0,H,
354,Litvak,,,The Journey,1959,,,0,H,
355,A.Hall,,,Let's do it Again,1953,,,0,H,
356,Roosevelt,,,Goona-Goona,1932,,,0,H,
357,Ch.Franklin,,,Vanity Fair,1932,,,0,H,
358,Kenton,,,House of Dracula,1945,,,0,H,
359,Buzzell,,,Mary Had a Little,1961,,,0,H,
360,Nugent,,,Just for You,1952,,,0,H,
361,E.Marin,,,Colt 45,1950,,,0,H,
362,Ludwig,,,The Gun Hawk,1963,,,0,H,
363,Buck,,,"Icare, Killer of the Amazon",1942,,,0,H,
364,Woodruff,,,Lady Scarface,1941,,,0,H,
365,Humberstone,,,Without a Trace,1983,,,0,H,
366,H.Edwards,,,Scrooge,1935,,,0,H,
367,Hathaway,,,Shootout,1971,,,0,H,
368,Pichel,,,Santa Fe,1951,,,*,H,
369,Freund,,,Mad Love,1935,,,Gore Vidal,VIP,
370,K.Neumann,,,The Fly,1958,,,0,H,
371,Riefenstahl,,,Tiefland,1945,,,****,H,
372,Gering,,,Sarumba,1950,,,****,H,
373,Preminger,,,Rosebud,1979,,,0,H,
374,Czinner,,,Romeo and Juliet,1966,,,*,H,
375,Prevert,,,Voyage Suprise,1946,,,*,H,
376,Stevenson,,,Island at the Top of the World,1981,,,**,H,
377,Lanfield,,,Sorrowful Jones,1949,,,*,H,
378,S.Roberts,,,The Ex-Mrs.~Bradford,1936,,,*,H,
379,Tatassopoulos,,,Social Decay,1932,,,*,H,
380,Halperin,,,White Zombie,1932,,,**,H,
381,Mr.Varnel,,,This Man is Mine,1946,,,**,H,
382,Keighley,,,The Man Who Came to Dinner,1942,,,Gore Vidal,VIP,
383,Tourjansky,,,L'Aiglon,1932,,,Gore Vidal,VIP,
384,Z.Korda,,,Cry the Beloved Country,1951,,,bronze,Baer,
385,UnYear32,,,Unholy Love,1932,,,bronze,Baer,
386,B.Wilder,,,Buddy Buddy,1981,,,0,H,
387,AutantLara,,,Le Rouge et le Blanc,1970,,,*,H,
388,Daves,,,The Battle of Villa Florita,1956,,,*,H,
389,E.Forde,,,Berlin Correspondent,1942,,,*,H,
390,Strayer,,,Beware of Blondie,1950,,,*,H,
391,G.Stevens~sr.,,,The Only Game in Town,1970,,,**,H,
392,H.Roach,,,Turnabout,1941,,,**,H,
393,BenoitLevy,,,Fire in the Straw,1933,,,**,H,
394,L.French,,,Dirty Work,1933,,,***,H,
395,M.C.Cooper,,,The Last Days of Pompeii,1935,,,Gore Vidal,VIP,
396,M.Epstein,,,La Mort du Cygne,1938,,,Gore Vidal,VIP,
397,Leisen,,,The Girl Most Likely,1957,,,gold,Baer,
398,Barthelmess,,,Heroes for Sale,1933,,,gold,Baer,
399,Mack,,,Once in a Lifetime,1933,,,**,H,
400,Camerini,,,Ulysses,1954,,,*,H,
401,A.Woods,,,Busman's Honeymoon,1940,,,*,H,
402,Lubin,,,The Barbarians,1967,,,0,H,
403,Erskine,,,The Egg and I,1947,,,*,H,
404,C.Gibbons,,,Tarzan and his Mate,1934,,,***,H,
405,C.Reed,,,Oliver!,1968,,,*,AAdir,
406,D.Burton,,,The Man Who Wouldn't Talk,1940,,,0,H,
407,Sirk,,,Imitation of Life,1959,,,*,H,
408,Ulmer,,,"Atlantis, The Lost Kingdom",1962,,,*,NFR,
409,Alexandrov,,,The Jolly Fellows,1934,,,*,NFR,
410,Meins,,,Babes in Toyland,1934,,,**,H,
411,Molander,,,Only One Night,1938,,,**,H,
412,H.Young,,,The Mummy's Tomb,1942,,,0,H,
413,Negulesco,,,The Pleasure Seekers,1964,,,0,H,
414,Raymond,,,The Mind of Mr.~Reeder,1939,,,0,H,
415,L.Sherman,,,Born to Be Bad,1941,,,0,H,
416,Romm,,,Ordinary Fascism,1964,,,0,H,
417,Pagnol,,,Manon des Sources,1952,,,*,H,
418,P.Martin,,,Orient Express,1934,,,*,H,
419,R.W.Baker,,,Mission: Monte Carlo,1985,,,0,H,
420,Atkins,,,The Silver Streak,1934,,,0,H,
421,Berkeley,,,Take Me Out To The Ball Game,1949,,,poorly paced,VIP,
422,Hecht,,,Angels over Broadway,1940,,,**,H,
423,MacArthur,,,Once in a Blue Moon,1936,,,**,H,
424,Kull,,,Tarzan and the Green Goddess,1935,,,**,H,
425,Dmytryk,,,Bluebeard,1972,,,0,H,
426,Nicholls,,,Anne of Green Gables,1934,,,0,H,
427,Edgren,,,Walpurgis Night,1935,,,0,H,
428,G.White,,,George White's 1935 Scandals,1935,,,*,H,
429,Revier,,,The Lost City,1935,,,0,H,
430,H.Biberman,,,Salt of the Earth,1954,,,0,NFR,
431,English,,,Valley of Fire,1951,,,0,NFR,
432,Auer,,,The Eternal City,1953,,,0,NFR,
433,Kane,,,Spoilers of the Forest,1953,,,0,H,
434,Parent,,,A Fine Mess,1935,,,0,H,
435,L.King,,,Dangerous Mission,1954,,,0,H,
436,P.Stein,,,Mimi,1935,,,0,H,
437,Walls,,,Foreign Affaires,1935,,,0,H,
438,Engel,,,Pygmalion,1935,,,0,H,
439,Merzbach,,,Invitation to the Waltz,1935,,,0,H,
440,UnYear35,,,The House on the Square,1935,,,0,H,
441,Hurst,,,Scrooge,1950,,,0,H,
442,E.Marvin,,,Speed,1936,,,v,H,
443,Stephani,,,Flash Gordon,1936,,,v,H,
444,F.McDonald,,,Along the Navajo Trail,1946,,,v,H,
445,G.Douglas,,,Viva Knievel,1977,,,0,H,
446,French,,,The Man Who Loved Redheads,1955,,,0,H,
447,H.Potter,,,Three for the Show,1955,,,*,H,
448,Mason,,,Flight from Folly,1945,,,*,H,
449,Koster,,,Mr. Hobbs Takes a Vacation,1962,,,*,H,
450,Watt,,,West of Zanzibar,1953,,,*,RFP,
451,Flood,,,We're Only Human,1936,,,0,H,
452,Hillyer,,,Dracula's Daughter,1936,,,0,H,
453,Selander,,,Fort Algiers,1953,,,0,H,
454,Carne,,,Terrain Vague,1960,,,****,H,
455,N.Foster,,,The Return of Mr.~Moto,1965,,,*,H,
456,Harlan,,,The Third Sex,1957,,,*,H,
457,Clemens,,,Crime By Night,1944,,,0,H,
458,Forst,,,Bel Ami,1939,,,0,H,
459,W.Hamilton,,,Bunker Bean,1936,,,0,H,
460,Wiles,,,Charlie Chan's Secret,1936,,,0,H,
461,Kimmins,,,The Amorous Prawn,1962,,,0,H,
462,A.Malraux,,,Sierra de Teruel,1938,,,0,H,
463,Ratoff,,,Oscar Wilde,1960,,,**,H,
464,J.Boulting,,,"Soft Beds, Hard Battles",1973,,,0,H,
465,Farrow,,,John Paul Jones,1959,,,0,H,
466,J.Hogan,,,The Farmer's Daughter,1940,,,0,H,
467,Hand,,,Snow White and the Seven Dwarfs,1937,,,****,H,
468,G.Sherman,,,Son of Robin Hood,1958,,,0,H,
469,Decoin,,,Outcasts of Glory,1964,,,**,H,
470,Musso,,,Le Puritain,1938,,,**,Delluc,
471,M.Powell,,,The Age of Consent,1969,,,*,H,
