dir_id,movie_id
AMD,AMD13
AMD,AMD16
AMe,AMe10
AMg,AMg7
AmH,AmH10
AmH,AmH13
AmH,AmH25
AMi,AMi10
AMi,AMi12
AMi,AMi15
AMi,AMi19
AMk,AMk10
AML,AML1
AmM,AmM10
AmN,AmN1
Amo,Amo13
AMp,AMp1
AMr,AMr10
AMr,AMr15
AMs,AMs25
AMy,AMy3
AMy,AMy10
AMy,AMy18
AMy,AMy20
AMz,AMz1
AMz,AMz5
AN,AN10
AnA,AnA10
AnB,AnB5
AnB,AnB10
AnB,AnB20
AnB,AnB24
AnB,AnB26
AnC,AnC10
AnD,AnD10
ANe,ANe10
ANi,ANi10
AnL,AnL5
AnL,AnL10
AnL,AnL12
AnL,AnL13
AnL,AnL15
AnM,AnM16
AnM,AnM17
AnM,AnM20
AnM,AnM22
AnM,AnM24
AnM,AnM25
AnM,AnM27
AnM,AnM28
AnM,AnM30
AnM,AnM32
AnM,AnM33
AnM,AnM34
AnM,AnM35
AnM,AnM37
AnM,AnM40
AnP,AnP7
AnP,AnP8
AnP,AnP18
AnQ,AnQ10
AnS,AnS1
AnS,AnS3
AnS,AnS15
AnS,AnS33
AnT,AnT5
AnT,AnT16
AnW,AnW10
AoS,AoS10
AOz,AOz10
APa,APa5
APa,APa6
APa,APa7
APa,APa12
APa,APa20
APa,APa24
APa,APa25
APa,APa30
APe,APe10
APl,APl10
APk,APk10
APo,APo10
APo,APo40
APo,APo43
APv,APv10
APy,APy10
APy,APy15
AR,AR4
AR,AR5
AR,AR8
AR,AR10
ARa,ARa10
ARb,ARb1
ArD,ArD10
ArF,ArF10
ARG,ARG2
ArH,ArH101
ArH,ArH102
ArH,ArH103
ArH,ArH104
ArH,ArH105
ArH,ArH106
ArH,ArH107
ArH,ArH108
ArH,ArH109
ArH,ArH110
ArH,ArH111
ArH,ArH112
ArH,ArH113
ArH,ArH114
ArH,ArH115
ArH,ArH116
ArH,ArH117
ArH,ArH118
ArH,ArH204
ArH,ArH205
ArH,ArH207
ArH,ArH208
ArH,ArH209
ArH,ArH210
ArH,ArH215
ArH,ArH216
ArH,ArH217
ArH,ArH218
ArH,ArH220
ArH,ArH225
ArH,ArH227
ArH,ArH230
ArH,ArH236
ArH,ArH240
ARi,Ari15
ARk,ARk10
ARk,ARk12
ArL,ArL17
ArL,ArL22
ArL,ArL26
ArL,ArL28
ArL,ArL29
ArL,ArL36
ArL,ArL39
ArL,ArL46
ArL,ArL48
ArL,ArL49
ArL,ArL51
ArL,ArL56
ArL,ArL58
ArL,ArL60
ArL,ArL61
ARm,ARm10
ArN,ArN10
ARo,ARo10
ArP,ArP1
ArP,ArP4
ArP,ArP5
ArP,ArP10
ArP,ArP15
ArP,ArP16
ArP,ArP18
ArP,ArP20
ArR,ArR10
ARu,ARu4
ARu,ARu10
ARu,ARu20
ARu,ARu28
ARw,ARw12
AS,AS24
ASa,ASa30
ASa,ASa34
ASa,ASa39
ASa,ASa41
ASa,ASa50
ASa,ASa51
ASe,ASe10
ASf,ASf8
ASf,ASf10
ASh,ASh10
ASi,ASi10
ASj,ASj15
AsL,AsL10
ASm,ASm10
ASo,ASo1
ASR,ASR15
ASR,ASR40
ASS,ASS10
ASt,ASt10
ASu,ASu10
ASv,ASv10
ATa,ATa5
ATa,ATa10
ATa,ATa30
AtB,AtB11
ATk,ATk10
ATk,ATk12
ATu,ATu1
ATe,ATe2
ATe,ATe3
ATe,ATe10
ATe,ATe16
ATe,ATe20
ATe,ATe22
AtH,AtH10
ATn,ATn10
ATn,ATn12
AtR,AtR10
AuB,AuB10
AuJ,AuJ10
AVa,Ava3
AVa,AVa10
AVa,AVa12
AVa,AVa17
AVL,AVL2
AVL,AVL6
AVL,AVL7
AVL,AVL9
AVL,AVL10
AVL,AVL11
AVL,AVL13
AVL,AVL19
AVL,AVL30
AVL,AVL35
AVo,AVo10
AvS,AvS10
AvW,AvW10
AvW,AvW12
AvW,AvW19
AWa,AWa5
AWe,AWe10
AWj,AWj5
AWj,AWj10
AWj,AWj13
AWj,AWj15
AWj,AWj16
AWj,AWj20
AWj,AWj22
AWj,AWj23
AWj,AWj25
AWj,AWj27
AWj,AWj29
AWj,AWj30
AWj,AWj31
AWj,AWj33
AWj,AWj34
AWj,AWj35
AWj,AWj37
AWj,AWj38
AWj,AWj41
AWj,AWj43
AWj,AWj45
AWk,AWk10
AWw,AWw3
AWw,AWw10
AxC,AxC10
AxP,AxP10
AxS,AxS10
AyW,AyW10
AyW,AyW11
AxA,AxA10
AZu,AZu5
AZu,AZu14
AZu,AZu18
AZu,AZu19
AZu,AZu20
AZu,AZu25
AZu,AZu26
BaB,BaB10
BaD,BaD13
BaD,BaD22
BaD,BaD26
BaD,BaD28
BaD,BaD29
BaD,BaD35
BaD,BaD39
BaK,BaK20
BaL,BaL1
BaL,BaL4
BaL,BaL9
BaP,BaP10
BaS,BaS10
BB,BB2
BB,BB4
BB,BB5
BB,BB6
BB,BB7
BB,BB8
BB,BB9
BB,BB10
BB,BB11
BB,BB15
BB,BB17
BB,BB22
BBa,BBa1
BBa,BBa5
BbB,BbB3
BBe,BBe1
BBe,BBe17
BBe,BBe19
BBe,BBe20
BBe,BBe21
BBe,BBe23
BBi,BBi10
BBl,BBl1
BBo,BBo10
BBo,BBo27
BBr,BBr10
BBT,BBT10
BBw,BBw10
BBw,BBw20
BBy,BBy10
BCh,BCh10
BCo,BCo10
BCl,BCl1
BCl,BCl4
BCl,BCl5
BCl,BCl7
BCl,BCl10
BCr,BCr10
BDC,BDC8
BDH,BDH10
BDH,BDH30
BDn,BDn2
BDn,BDn7
BDn,BDn13
BdP,BdP1
BdP,BdP2
BdP,BdP8
BdP,BdP10
BdP,BdP11
BdP,BdP12
BdP,BdP13
BdP,BdP14
BdP,BdP15
BdP,BdP16
BdP,BdP17
BdP,BdP18
BdP,BdP19
BdP,BdP21
BdP,BdP23
BdP,BdP25
BdP,BdP26
BdP,BdP30
BdP,BdP32
BDu,BDu2
BDu,BDu3
BDu,BDu4
BDu,BDu10
BdY,BdY4
BdY,BdY5
BdY,BdY6
BE,BE4
BE,BE8
BE,BE9
BE,BE10
BE,BE11
BE,BE12
BE,BE16
BE,BE19
BE,BE21
BE,BE22
BE,BE23
BE,BE24
BE,BE25
BE,BE26
BE,BE27
BE,BE28
BE,BE29
BE,BE36
BE,BE38
BE,BE39
BEE,BE39
BEE,BEE10
BeG,BeG10
BeH,BeH1
BeH,BeH2
BeM,BeM10
BeR,BeR10
BeR,BeR12
BeR,BeR16
BeW,BeW4
BeW,BeW10
BeW,BeW12
BF,BF5
BF,BF6
BF,BF7
BF,BF8
BF,BF9
BFo,BFo1
BFo,BFo3
BFo,BFo4
BFo,BFo12
BFo,BFo13
BFo,BFo14
BFr,BFr10
BGH,BGH9
BGH,BGH10
BGH,BGH20
BGH,BGH26
BGi,BGi10
BGi,BGi11
BGi,BGi13
BGi,BGi14
BGi,BGi15
BGi,BGi16
BGi,BGi17
BGi,BGi18
BGi,BGi19
BGi,BGi20
BGi,BGi21
BGr,BGr10
BGu,BGu10
BGt,BGt10
BGt,BGt13
BHd,BHd10
BHl,BHl10
BHo,BHo10
BHt,BHt10
BHu,BHu10
BiA,BiA1
BiA,BiA5
BiA,BiA7
BiA,BiA8
BiA,BiA9
BiA,BiA10
BiF,BiF10
BiF,BiF13
BiF,BiF20
BIG,BIG10
BiK,BiK10
BiP,BiP10
BJR,BJR10
BJq,BJq5
BJq,BJq15
BKi,BKi10
BKi,BKi12
BKi,BKi19
BKo,BKo10
BKp,BKp10
BLe,BLe1
BLe,BLe4
BLe,BLe5
BLe,BLe6
BLe,BLe8
BLe,BLe10
BLe,BLe11
BLe,BLe12
BLe,BLe15
BLe,BLe17
BLe,Ble19
BLe,BLe21
BLe,BLe22
BLe,BLe23
BLu,BLu10
BLu,BLu12
BLv,BLv10
BLv,BLv12
BLv,BLv15
BLw,BLw10
BMa,BMa10
BmF,BmF10
BMo,BMo10
BMy,Bmy14
BnG,BnG1
BnG,BnG12
BnG,BnG13
BnM,BnM10
BnR,BnjR10
BnS,BnS10
BnS,BnS15
BNu,BNu1
BoB,BoB1
BoB,BoB4
BoL,BoL10
BoS,BoS50
BoS,BoS61
BoS,BoS62
BoS,BoS70
BoS,BoS75
BoS,BoS80
BoW,BoW4
BoW,BoW6
BoW,BoW20
BPi,BPi10
BPr,BPr10
BRa,BRa10
BRa,BRa12
BRB,BRB3
BRB,BrB5
BRB,BRB7
BRB,BrB10
BRB,BrB15
BRB,BrB20
BRB,BrB21
BRB,BrB22
BRB,BrB25
BRB,BrB27
BRB,BrB30
BrD,BrD10
BrD,BrD11
BRf,BRf1
BRf,BRf2
BRf,BRf4
BRf,BRf20
BRf,BRf30
BRf,BRf32
BRf,BRf34
BRf,BRf38
BRf,BRf39
BrG,BrG10
BrG,BrG20
BrG,BrG25
BrG,BrG28
BrL,BrL15
BRo,BRo10
BrP,BrP10
BrP,BrP15
BrR,BrR1
BrR,BrR5
BrS,BrS10
BrS,zSh10
Windust,BrW5
Windust,BrW10
Windust,BrW13
Windust,BrW16
Windust,BrW100
Windust,BrW101
BS,BS1
BS,BS4
BS,BS5
BS,BS6
BS,BS8
BS,BS10
BS,BS15
BSc,BSc11
BSc,BSc20
BSc,BSc25
BSc,BSc28
BSc,BSc40
BSe,BSe10
BSe,BSe20
BSh,BSh10
BSi,BSi10
BSi,BSi13
BsK,BsK1
BsK,BsK2
BsK,BsK3
BsK,BsK4
BsK,BsK5
BsK,BsK6
BsK,BsK7
BsK,BsK8
BsK,BsK9
BsK,BsK10
BsK,BsK11
BsK,BsK12
BsK,BsK13
BsK,BsK14
BsK,BsK15
BsK,BsK16
BsK,BsK17
BsK,BsK18
BsK,BsK19
BsK,BsK20
BsK,BsK21
BsK,BsK22
BsK,BsK23
BsK,BsK24
BsK,BsK25
BsK,BsK26
BsK,BsK27
BsK,BsK28
BsK,BsK29
BsK,BsK30
BSp,BSp10
BSp,BSp12
BSt,BSt1
BSt,BSt5
BSt,BSt15
BSz,BSz10
BtB,BtB3
BtB,BtB5
BtB,BtB7
BtB,BtB13
BtB,BtB15
BtB,BtB19
BtB,BtB25
BtB,BtB29
BtB,BtB32
BTh,BTh10
BTh,BTh13
BTh,BTh15
BtK,BtK10
BtS,BtS10
BTv,BTv5
BTv,BTv16
BTv,BTv20
BTv,BTv22
BTv,BTv24
BTv,BTv27
BTv,BTv29
BuE,BuE10
BuG,BuG10
BuH,BuH10
BuH,BuH15
BuK,BuK2
BuK,BuK3
BuK,BuK5
BuK,BuK10
BuR,BuR10
BuR,BuR14
BuR,BuR20
BuR,BuR25
BuS,BuS10
BuT,BuT10
BvH,BvH8
BvH,BvH10
BVi,BVi5
BVi,BVi12
BVo,BVo10
BVS,BVS3
BW,BW2
BW,BW3
BW,BW4
BW,BW5
BW,BW7
BW,BW8
BW,BW9
BW,BW10
BW,BW11
BW,BW12
BW,BW13
BW,BW14
BW,BW15
BW,BW16
BW,BW17
BW,BW18
BW,BW19
BW,BW21
BW,BW25
BW,BW28
BW,BW30
BWb,BWb10
BYa,BYa10
ByB,ByB10
ByH,ByH5
ByH,ByH8
ByH,ByH10
ByH,ByH12
ByH,ByH13
ByH,ByH15
ByH,ByH20
ByH,ByH26
BYo,BYo1
ByP,ByP10
ByS,ByS10
ByS,ByS15
ByS,ByS17
BZi,BZi10
BzK,BzK8
BzK,BzK10
BzK,BzK15
BzK,BzK20
C4,C40
C4,C76
C4,C87
C4,C89
C4,C91
C4,C94
C4,C101
C4,C104
C4,C106
C4,C109
C4,C112
C4,C113
C4,C114
C4,C115
C4,C117
C4,C118
C4,C119
C4,C120
C4,C121
C4,C122
C4,C123
C4,C124
C4,C126
C4,C127
C4,C129
C4,C131
C4,C134
C4,C135
C4,C136
C4,C140
C4,C142
C4,C143
C4,C146
C4,C157
C4,C160
C4,C161
C4,C165
C4,C171
CaB,CaB1
CaB,CaB6
CAd,CAd10
CaF,CaF10
CaG,CaG1
CAL,CAL15
CAL,CAL20
CAL,CAL25
CAL,CAL35
CAL,CAL36
CAL,CAL46
CAm,CAm30
CAN,CAN10
CaR,CaR1
CaR,CaR5
CaR,CaR7
CaR,CaR15
CaR,CaR20
CaR,CaR21
CaR,CaR22
CaR,CaR24
CaR,CaR27
CaR,CaR30
CaR,CaR31
CaR,CaR35
CaR,CaR38
CaS,CaS10
CB,CB14
CB,CB15
CB,CB18
CBa,CBa30
CBa,CBa40
CBa,CBa45
CBa,CBa50
CBe,CBe10
CBd,CBd10
CBd,CBd20
CBl,CBl20
CBl,CBl25
CBl,CBl26
CBl,CBl30
CBl,CBl32
CBl,CBl35
CBl,CBl40
CBl,CBl60
CBl,CBl67
CBl,CBl69
CBl,CBl70
CBl,CBl73
CBl,CBl80
CBm,CBm10
CBm,CBm11
CBm,CBm60
CBP,CBP10
CBP,CBP12
CBt,CBt3
CBt,CBt10
CBt,CBt15
CBu,CBu8
CBu,CBu10
CBu,CBu12
CBw,CBw9
CBw,CBw12
CBw,CBw15
CBw,CBw17
CBw,CBw18
CBw,CBw19
CBw,CBw22
CBw,CBw27
CBw,CBw28
CBw,CBw29
CBw,CBw31
CBw,CBw32
CBw,CBw33
CBw,CBw35
CBw,CBw36
CBw,CBw37
CBw,CBw38
CBw,CBw41
CBw,CBw42
CBw,CBw43
CBw,CBw45
CBw,CBw48
CBx,CBx10
CBy,CBy10
CC,CC43
CC,CC60
CC,CC62
CC,CC64
CC,CC66
CC,CC68
CC,CC70
CC,CC73
CC,CC75
CC,CC76
CC,CC77
CC,CC78
CC,CC79
CC,CC80
CC,CC82
CC,CC83
CCa,CCa10
CCa,CCa13
CCb,CCb10
CCG,CCG1
CCG,CCG3
CCG,CCG4
CCG,CCG7
CCG,CCG8
CCG,CCG10
CCG,CCG15
CCG,CCG24
CCo,CCo1
CCo,CCo3
CCo,CCo4
CCo,CCo5
CCo,CCo6
CCo,CCo10
CCo,CCo11
CCo,CCo12
CCo,CCo14
CCr,CCr10
CCr,CCr12
CCw,CCw2
CCw,CCw5
CCw,CCw10
CD,CD8
CD,CD11
CD,CD20
CD,CD22
CD,CD28
CD,CD29
CD,CD33
CDe,CDe10
CdG,CdG1
CDM,CDM1
CDM,CDM3
CDM,CDM6
CDM,CDM7
CDM,CDM8
CDM,CDM9
CDM,CDM10
CDM,CDM11
CDM,CDM12
CDM,CDM13
CDM,CDM15
CDM,CDM16
CDM,CDM17
CDM,CDM18
CDM,CDM22
CDM,CDM32
CDM,CDM40
CDM,CDM45
CDM,CDM51
CDM,CDM52
CDM,CDM54
CDM,CDM56
CDM,CDM59
CDM,CDM60
CDM,CDM64
CDM,CDM68
CDM,CDM73
CDM,CDM75
CDM,CDM77
CDM,CDM78
CDM,CDM79
CDM,CDM80
CDN,CDN10
CDr,CDr9
CDr,CDr10
CDr,CDr30
CDu,CDu10
CDv,CDv10
CEa,CEa1
CEa,CEa2
CEa,CEa3
CEa,CEa4
CEa,CEa5
CEa,CEa6
CEa,CEa7
CEa,CEa8
CEa,CEa9
CEa,CEa11
CEa,CEa12
CEa,CEa13
CEa,CEa14
CEa,CEa15
CEa,CEa16
CEa,CEa17
CEa,CEa18
CEa,CEa19
CEa,CEa20
CEa,CEa21
CEd,CEd10
CEd,CEd20
CfO,CfO10
CfO,CfO20
CFr,CFr10
CGi,CGi10
CGl,CGl10
CGl,CGl25
CGl,CGl35
CGl,CGl115
CGo,CGo10
CGo,CGo15
CGr,CGr10
CGy,CGy10
CHa,CHa10
CHa,CHa18
CHa,CHa20
CHa,CHa25
CHa,CHa27
ChB,ChB9
ChC,ChC4
ChC,ChC6
ChC,ChC7
ChC,ChC8
ChC,ChC11
ChC,ChC13
ChC,ChC30
ChD,ChD10
ChE,ChE1
ChE,ChE2
ChF,ChF7
ChF,ChF10
ChG,ChG1
ChG,ChG10
ChG,ChG15
ChG,ChG18
ChH,ChH3
ChH,ChH10
CH,CH5
CH,CH10
ChN,ChN10
ChJ,ChJ12
ChJ,ChJ30
ChJ,ChJ36
ChJ,ChJ50
ChJ,ChJ74
ChK,ChK10
ChK,ChK13
ChL,ChL1
ChM,ChM20
CHo,CHo5
ChR,ChR10
ChR,ChR13
ChR,ChR50
ChR,ChR60
ChS,ChS10
ChS,ChS13
ChS,ChS20
ChS,ChS24
ChV,ChV2
ChV,ChV8
ChV,ChV13
ChV,ChV15
ChV,ChV20
ChV,ChV26
ChV,ChV35
ChV,ChV45
ChV,ChV46
ChW,ChW2
ChW,ChW3
ChW,ChW4
ChW,ChW6
ChW,ChW7
ChW,ChW12
ChW,ChW16
ChW,ChW22
ChW,ChW25
CiS,CiS10
CiS,CiS40
CJ,CJ2
CJ,CJ4
CJ,CJ6
CJ,CJ8
CJ,CJ9
CJ,CJ10
CJu,CJu10
CkB,CkB10
CKl,CKl2
CKl,CKl4
CL,CL1
CLa,CLa18
CLa,CLa20
CLa,CLa24
CLa,CLa95
CLa,CLa100
CLa,CLa110
CLa,CLa114
CLa,CLa115
CLa,CLa121
CLa,CLa125
CLa,CLa127
CLB,CLB10
CLB,CLB20
ClC,ClC2
ClC,ClC5
ClC,ClC8
ClC,ClC18
ClC,ClC20
ClC,ClC21
ClC,ClC22
ClC,ClC24
ClC,ClC35
ClC,ClC45
ClC,ClC49
ClC,ClC50
ClC,ClC57
ClC,ClC58
ClC,ClC60
ClD,ClD1
ClD,ClD5
ClD,ClD10
CLi,CLi10
ClL,ClL25
ClM,ClM30
ClM,ClM40
ClO,ClO10
ClP,ClP10
ClP,ClP12
ClP,ClP18
ClS,ClS22
ClS,ClS25
ClS,ClS40
ClS,ClS45
ClW,ClW10
ClW,ClW20
ClZ,ClZ10
ClZ,ClZ19
CMA,CMA1
CMe,CMe10
CMk,CMk11
CMk,CMk40
CMt,CMt10
CMu,CMu10
CNo,CNo1
CNo,CNo3
CNu,CNu10
CNy,CNy1
CNy,CNy15
CoA,CoA1
CoA,CoA10
CoB,CoB1
CoB,CoB3
CoB,CoB6
CoC,CoC10
CoF,CoF10
CoH,CoH1
CoH,CoH2
CoH,CoH3
CoW,CoW1
CoW,CoW2
CoW,CoW3
CoW,CoW4
CoW,CoW5
CoW,CoW6
CoW,CoW7
CP,CP2
CP,CP3
CPR,CPR10
CR,CR10
CR,CR12
CR,CR13
CR,CR14
CR,CR16
CR,CR17
CR,CR18
CR,CR19
CR,CR20
CR,CR24
CrB,CrB10
CrC,CrC10
CRd,CRd10
CrM,CrM10
CrR,CrR10
CrS,CrS10
CRu,CRu10
CSc,CSc10
CSe,CSe2
CSe,CSe15
CSG,CSG10
CSi,CSi6
CSi,CSi10
CSm,CSm10
CSr,CSr4
CSr,CSr5
CSr,CSr7
CSr,CSr10
CSr,CSr20
CSr,CSr25
CsS,CsS10
CsS,CsS15
CTB,CTB10
CTB,CTB15
CTB,CTB16
CTB,CTB25
CTH,CTH10
CTK,CTK10
CTK,CTK12
CuB,CuB32
CuB,CuB34
CuB,CuB37
CuB,CuB39
CuB,CuB40
CuB,CuB44
CuH,CuH14
CuH,CuH20
CVi,CVi10
CVi,CVi16
CWh,CWh10
CWi,CWi10
CWl,CWl10
CWm,CWm10
CWr,CWr3
CWr,CWr10
CyC,CyC10
CyE,CyE8
CyE,CyE10
CyE,CyE30
CyE,CyE40
CyS,CyS1
DaA,DaA1
DaA,DaA3
DaA,DaA5
DaA,DaA18
DaB,DaB3
DaB,DaB4
DaB,DaB5
DaB,DaB8
DaB,DaB9
DaB,DaB11
DaB,DaB13
DaB,DaB17
DaB,DaB19
DaB,DaB20
DaB,DaB21
DaB,DaB23
DaB,DaB28
DaB,DaB29
DaB,DaB30
DaB,DaB32
DaB,DaB33
DaD,DaD10
DAf,DAf10
DaG,DaG3
DaG,DaG6
DaG,DaG10
DaH,DaH1
DaH,DaH2
DAl,DAl10
DaM,DaM1
DaM,DaM3
DaM,DaM4
DaM,DaM5
DaM,DaM6
DaM,DaM7
DaM,DaM10
DaM,DaM15
DaM,DaM30
DaM,DaM35
DAP,DAP10
DAr,DAr10
DaT,DaT10
DaV,DaV1
DAz,DAz5
DAz,DAz6
DAz,DAz21
DAz,DAz23
DAz,DAz35
DBd,DBd10
DBl,DBl10
DBl,DBl15
DBl,DBl20
DBl,DBl24
DBo,DBo6
DBo,DBo10
DBo,DBo12
DBo,DBo15
DBr,DBr5
DBr,DBr10
DBu,DBu10
DbW,DbW10
DBy,DBy1
DBy,DBy2
DBy,DBy4
DBy,DBy10
DCa,DCa5
DCa,DCa10
DCb,DCb10
DCh,DCh10
DCh,DCh15
DCh,DCh25
DCn,DCn10
DCn,DCn12
DCr,DCr10
DCr,DCr14
DCr,DCr15
DCr,DCr17
DCr,DCr18
DCr,DCr19
DCr,DCr20
DCr,DCr22
DCr,DCr25
DCr,DCr30
DCr,DCr35
DCr,DCr37
DCs,DCs1
DCs,DCs10
DCs,DCs12
DCs,DCs30
DDa,DDa10
DDB,DDB10
DDe,DDe10
DDg,DDg10
DDg,DDg13
DDk,DDk10
DDo,DDo20
DDo,DDo25
DdP,DdP10
DDu,DDu10
DDu,DDu15
DdV,DdV1
DdV,DdV2
DdV,DdV4
DDW,DDW10
DDy,DDy10
DeA,DeA10
DeD,DeD18
DeD,DeD30
DeD,DeD40
DeD,DeD42
DeD,DeD50
DeD,DeD57
DeD,DeD60
DeD,DeD62
DeD,DeD65
DeD,DeD75
DeD,DeD77
DeH,DeH10
DeJ,DeJ10
DeJ,DeJ28
DeJ,DeJ32
DEl,DEl10
DeM,DeM1
DeM,DeM2
DeM,DeM4
DeM,DeM8
DeM,DeM10
DeM,DeM17
DeM,DeM20
DeR,DeR10
DeS,DeS10
DFg,DFg10
DFi,DFi10
DFi,DFi15
DFi,DFi17
DGi,DGi10
DGr,DGr1
DH,DH5
DHa,DHa2
DHa,DHa5
DHa,DHa7
DHe,DHe10
DHg,DHg10
DHi,DHi10
DHL,DHL1
DHL,DHL6
DHL,DHL10
DHo,DHo1
DHo,DHo18
DHo,DHo22
DHr,DHr10
DHr,DHr12
DHx,DHx10
DiK,DiK10
DIl,DIl10
DIr,DIr5
DIr,DIr10
DiS,DiS10
DJR,DJR10
DJR,DJR15
DKl,DKl10
DkP,DkP3
DkP,DkP4
DkP,DkP5
DKu,DKu1
DKu,DKu5
DKu,DKu10
DL,DL1
DL,DL3
DL,DL4
DL,DL5
DL,DL6
DL,DL7
DL,DL9
