pcode,did,lname,fname,,,background/0,yearstart,yearend
W,TAl,Allan,Ted,,,Am,1990,
W,WA,Konigsberg,Allen Stewart,1935,,Am,1969,1991
D,RgA,Allers,Roger,19xx,,Ct,1994,
C,,Almendros,Nestor,1931,1992,,1965,
D,PlA,Almond,Paul,,,Ca,1959,1968
D,PAl,Almod'ovar,Pedro,1951,,Sp,1980,1994
D,RAl,Altman,Robert,1922,,Am,1955,1982
D,SiA,Amadio,Silvio,,,It,1960,
D,SuA,Amaral,Suzana,,,Br,1985,
D,GnA,Amelio,Gianni,19xx,,It,1993,1996
D,AAm,Amen'abar,Alejandro,19xx,19yy,Sp,1999,
W,FAm,Amurri,Franco,,199x,It,1989,1994
P,JoA,Amiel,Jon,,,,1990,1993
D,AAn,Anders,Allison,,,Ct,1992,1194
D,ToA,Andersen,Thom,19xx,,Am,1974,
D,BdA,Anderson,Brad,,,Am,1996,
D,KuA,Anderson,Kurt,,,Ct,1991,
D,LrA,Anderson,Laurie,,,Ct,1991,
D,LiA,Anderson,Lindsay,1923,1994,Br,1953,1987
D,MiA,Anderson,Michael,1920,,Br,1950,1982
W,PTA,Anderson,Paul Thomas,19xx,,Am,1997,
D,SvA,Anderson,Steve,,,Am,1992,
D,WeA,Anderson,Wes,,,Am,1996,
D,JPd,de b,Joaquim Pedro,,,Bz,1962,1969
,,Andr'e,Henri,19xx,,Fr,1911,
D,RAn,Andr'e,Raoul,1916,1992,Fr,,
D,MxA,Angel,Mikel,,,Ct,1975,
D,AAg,Angelidi,Antoinetta,,,Gr,1985,
D,YvA,Angelo,Yves,19xx,,Fr,1995,
D,TAn,Angelopoulos,Theo,1935,199x,Gr,1970,1998
D,MaA,Angelou,Maya,1928,199x,Am,1998,
D,KeA,Annakin,Ken,1914,,Br,1946,1982
D,JJA,Annaud,Jean-Jaques,,,Fr,1971,1992
B,,Anouilh,Jean,1910,,Fr,1947,1964
D,yAn,Antel,gn,19xx,,Os,1988,
D,JAn,Deuster,Joseph,1912,,,1956,1972
D,PAn,Antonijevic,Peter,,,Ct,1998,
A,LAn,Antonio,Lou,*,,Am,1985,
D,MA,Antonioni,Michelangelo,1912,,It,1950,1982
D,SAo,Aoyama,Shinji,,,Ja,1999,
D,StA,Apostoloff,Stephen C.,,,Ct,1965,
D,MAp,Apted,Michael,1941,,Br,1964,1994
D,MGA,Aragon,Manuel Guiterrez,,,Sp,1982,
D,GrA,Araki,Gregg,19xx,,Am,1988,
D,VAr,Aranda,Vincente,,,Sp,1992,
D,AfA,Arau,Alfonso,,,Ct,1992,
D,AxA,Arcady,Alexandre,,,Ct,1988,
D,DeA,Arcand,Denys,,,Ca,1989,
D,GAr,Archainbaud,George,1890,1959,Am,1919,1953
D,EAr,Ardolino,Emile,,,Ct,1987,1993
D,DaA,Argento,Dario,1943,,It,1970,1991
D,IAg,Argyle,John,1911,,Br,1931,1950
D,AAt,Aristarain,Adolfo,19xx,,,1990,
D,ViA,Aristov,Voktor,,,Ru,1990,
D,AAR,Arkush,Allan,,,Am,1979,1981
P,,Arkoff,Samuel Z.,1919,,Am,1953,1979
D,MAr,Arlen,Michael,,,,1927,1928
W,LAr,Arliss,Leslie,1901,,Br,1942,1955
D,GeA,Armitage,George,,,,1990,1997
D,GiA,Armstrong,Gillian,1952,,Am,1979,1994
D,JA,Arnold,Jack,1916,,Am,1953,1976
D,DAr,Aronofsky,Darren,,,Ct,1998,
D,YiA,Arslan,Yilmar,19xx,,Ct,1992,
D,KaA,Arthur,Karen,,,Am,1990,1991
P,,Arthur,Robert T.,,,Am,1968,
D,DAz,Arzner,Dorothy,1900,1979,Am,1927,1943
D,AnA,Ascot,Anthony,,,Am,1980,
D,HAs,Ashby,Hal,1936,1988,Am,1970,1982
D,RAs,Asher,Robert,1915,,Br,1959,1966
D,WAr,Asher,William,1919,,Am,1948,1966
G,FAs,Ashton,Sir Frederick,,,Br,1971,
D,AA,Asquith,Anthony Puffin,1902,1968,Br,1928,
D,OlA,Assayas,Oliver,19xx,,Fr,1990,1999
D,KAt,Ataman,Kutlug,19xx,19yy,Tu,1999,
D,Did,fname,xn,19xx,19yy,Ct,1999,
D,ThA,Atkins,Thomas,,,Am,1934,
A,RA,Attenborough,Sir Richard,1923,,Br,1942,1996
D,DnA,Attias,Daniel,,,Ct,1985,
D,JAd,,,,,Fr,2001,
D,JqA,Audrey,Jaqueline,1908,1977,Fr,1948,1966
D,IHA,Auer,John H.,1909,1975,Hu,1935,1957
D,MAu,Auger,Kenneth,1932,,,1944,1977
W,BiA,August,Bille,,,Da,1988,1997
D,JAu,Aurel,Jean,19xx,,Fr,1969,1970
W,PAu,Auster,Paul,,,Am,1998,
D,RAu,Austin,Ray,19xx,,Ct,1970,1983
D,CAL,Autant-Lara,Claude,1903,,Fr,1933,1970
D,IoA,Auzins,Igor,,,Am,1983,
D,PuA,Avati,Pupi,,,It,1990,
D,HAv,Avedis,Howard,,,Am,1981,
D,HyA,Averback,Hy,1924,,Am,1970,1984
D,IAv,Avildson,John G.,1936,,Am,1967,1983
D,TAv,Avildson,Tom,,,Am,1982,
W,JAv,Avnet,Jon,19xx,,Ct,1991,
D,xAx,Axelman,,,,Sw,1969,
W,GAd,Axelrod,George,1922,,Am,1966,1968
D,GAx,Axelrod,Gxx,,,,1988,
D,EAy,Ay{c}ca,Engin,,,Tu,1988,
D,HeB,Babenco,Hector,,,,1975,1991
D,LlB,Bacon,Lloyd,1890,1955,Am,1926,1954
D,GiB,Bachmann,Gideon,19xx,,Ct,1970,
D,FrB,Back,Frederick,19xx,,Ca,1970,1994
D,CBa,Badger,Clarence,1880,1964,Am,1919,1939
D,IBa,Badham,John,*,,Am,1971,1988
A,MxB,Baer,Max jr,1937,,Am,1975,1976
D,LzB,Baer,Liza,,,Am,1990,
D,FxB,Bahr,Fax,,,Ct,1991,
D,JoB,Baier,Jo,19xx,,Ge,1991,
D,CkB,Bail,Chuck,,,Am,1976,
D,IBl,Bailey,John,,,Ct,1991,1994
D,SBd,Baird,Stuart,19xx,199x,Ct,1996,
D,GrB,Baker,Graham,,,,1981,1988
P,RSB,Baker,Robert S.,1916,,Br,1950,1961
D,RWB,Baker,Roy Ward,1916,,Br,1934,1981
W,RBa,Bakshi,Ralph,1939,,Am,1971,1982
P,,Balaban,Barney,1887,1971,Am,,
D,BbB,Balaban,Burt,1887,1971,Am,,
A,BoB,Balaban,Bob,1965,,Am,1989,
D,BB,Balaban,Burt,1922,,Am,1957,1966
A,JBa,Balasko,Josiane,,,Fr,1995,
W,,Bauer,Hubert,1884,1949,Hu,1919,1931
D,AxB,Balabanov,Alexei,,,Ru,1998,
P,,Balcon,Sir Michael,1896,1977,Br,1923,1963
D,RAB,Baldwin,Ruth Ann,,,,1917,
D,CBd,Ballard,Carroll,*,,Am,1980,1983
D,IBd,Ballard,John,,,Am,1980,
C,,Ballard,Lucien,1908,,Am,1935,1976
C,,Ballhaus,Michael,1935,,Ge,1970,1990
D,JBm,Balsmeyer,Jeff,19xx,,Am,1991,
D,ABd,Band,Afredo,1924,,It,1956,1957
D,ABn,Banderas,Antonio,19xx,19yy,Ct,1999,
A,MBa,Bianchi,Mario,1897,1950,It,1931,1941
D,YBa,Banno,Yoshimitsu,,,Ja,1971,
D,AlB,Bano,Albert,,,Ct,1978,
D,MBk,Barker,Mike,,,Ct,1999,
D,NBa,Barker,Nicholas,,,Ct,1998,
D,ReB,Barker,Reginald,,,Ct,1914,
C,,Barnes,George,,,Am,1945,
D,IvB,Barnett,Ivan,,,,1949,
D,MwB,name1,Matthew,19xx,199x,Ct,1992,
D,BuB,Barret,Bruno,,,Ru,1927,
D,SiB,Barret,Si,,,,,
D,BBa,Barreto,Bruno,,,Bz,1976,
D,LBa,Barreto,Lima,1905,1982,Bz,1953,
P,,Barreto,Luis Carlos,,,Bz,1976,
D,SlB,Barrett,Shirley,,199x,Au,1997,
D,SBa,Barron,Steve,,,Am,1990,1993
A,LiB,Blythe,Lionel,1878,1954,Am,1938,1945
D,PBa,Bartel,Paul,1940,,Am,1972,1989
D,RdB,Barthelmess,Richard,,,Am,1933,
W,HaB,Bartlett,Hall,1922,1993,Am,1955,1978
D,CTB,Barton,Charles T.,,,Ct,1948,1959
D,TuB,Basaran,Tunc,,,Tu,1991,
D,SBs,Bass,Saul,,,Am,1974,
D,xBa,Bartabas,gn,19xx,,Ct,1993,
C,MaB,Bava,Mario,,,It,1960,1971
D,CBx,Baxley,Craig R.,19xx,199x,Ct,1988,
D,MBy,Bay,Michael,,199x,Am,1995,
D,RBB,Bean,Robert B.,,,,1971,
A,WBe,Beatty,Warren,1937,,Am,1978,1998
D,WiB,Beaudine,William,1892,197x,Am,1923,1966
W,CBe,Beaumont,Charles,,,Am,1981,
D,HB,Beaumont,Harry,1888,1966,Am,1929,1947
D,Hbe,Becker,Harold,,,Am,1979,1989
W,JqB,Becker,Jacques,1906,1960,Fr,1942,1960
D,J2B,Becker,Jacques,,,Fr,2000,
D,TeB,Bedford,Terry,,,Am,1983,
D,FoB,Beebe,Ford,,,Ct,1938,1954
D,JJB,Beineix,Jean-Jacques,,,Fr,1981,1988
W,RkB,Belic,Roko,19xx,19yy,,1999,
D,MiB,Bilikov,Mikhael,,,Ru,1989,
D,JPB,Bekolo,Jean-Pierre,19xx,,Ct,1993,
D,MoB,Bell,Monta,,,,1925,
D,MtB,Bell,Martin,,,Am,1984,1993
D,EBy,Bellamy,Earl,,,Ct,1966,1977
W,MBe,Bellocchio,Marco,1941,,It,1965,1994
D,VBe,Belmont,Vera,,,Ct,1996,
D,JBs,Belson,Jerry,,,Am,1982,
A,LBx,Belvaux,Lucas,19xx,2004,Be,1980,
A,RBx,Belvaux,Remy,19xx,,Fr,1992,
D,MBg,Bemberg,Maria Luisa,1922,1995,,1981,1995
D,MBc,Benacerraf,Margot,,,Ve,1958,
B,,Benchley,Peter,1940,,Am,1975,1977
D,LaB,Benedek,Laszlo,,,,1954,
D,ShB,Benegal,Shyam,1935,,In,1970,
A,RrB,Benigni,Roberto,19xx,,It,1992,
D,RiB,Benjamin,Richard,,,,1982,1993
D,RBn,Benner,Richard,,,Am,1977,
D,SGB,Bennett,Spencer Gordon,1893,,Am,1930,1965
W,AaB,Bennett,Alan,1934,,Br,1964,1993
E,CoB,Compton-Bennett,Robert,1900,1974,Br,1945,1965
P,,Bennett,Harve,,,Am,1986,
D,SGB,Bennett,Spencer Gordon,,,Am,1943,1965
D,JWB,Benoit,Jaques W.,,,Fr,1990,
D,JBL,Benoit-Levy,Jean,1883,1959,Fr,1933,1943
D,ThB,Bentley,Thomas,1880,195x,Br,1930,1941
W,RBe,Benton,Robert,1932,,Am,1970,1994
D,BrB,Beresford,Bruce,,,,1976,1991
D,PBe,Berg,Peter,,,Ct,1998,
D,LuB,Berger,Ludwig,1892,1969,Ge,1922,1950
W,AnB,Bergman,Andrew,,,Am,1981,1996
D,DnB,Bergman,Daniel,,,Sw,1994,
D,InB,Bergman,Ingmar,,,Sw,1956,1982
D,ElB,Bergstein,Eleanor,,,Ct,1987,
D,WlB,Berke,William,,,Am,1945,1952
G,BBe,Enos,William Busby,1895,1976,Am,1935,1949
D,ABe,Berliner,Alain,19xx,199x,Ct,1997,
D,LGB,Berlanga,Luis Garcia,19xx,,Sp,1952,
P,,Berman,Pandro S.,1905,,Am,1945,1949
D,SBe,Bernasconi,Stephane,19xx,,Ct,1980,
W,EBe,Bernds,Edward,,,Ct,1951,1962
D,CuB,Bernhardt,Curtis,1899,1981,Ge,1920,1964
M,,Bernstein,Elmer,1922,2004,Am,,
P,,Bernstein,Lord Sidney,1899,,Br,,
D,LBv,Berovici,Luca,19xx,199x,Ct,1995,
D,RBe,Bernard,Raymond,,,Fr,1930,
D,WaB,Bernstein,Walter,,,Am,1980,
W,CB,Berri,Claude,1934,,Fr,1964,1988
D,IBe,Berry,John,1917,,Am,1945,1978
W,BB,Bertolucci,Bernardo,1940,,It,1962,1987
D,LBe,Besson,Luc,1960,,Fr,1978,1994
D,FBe,Beyer,Frank,,,,1966,
D,TBe,Beyer,Tony,,,Ct,1998,
D,EBi,Bianchi9,Edward,,,,1980,
A,AbB,Biberman,Abner,1900,1977,Am,1956,1957
D,HJB,Biberman,Herbert J.,1900,1971,Am,1935,1969
D,RBi,Bierman,Robert,19xx,,Ct,1989,
W,TBi,Bigat,Tony,,,,1989,
D,KBg,Bigelow,Kathryn,,,,1985,
D,JBi,Bigood,Jim,,,Am,1971,
D,JbB,Bijl,Jacob,,,,1992,
D,TBl,Bill,Tony,,,Am,1980,1993
D,KBi,Billington,Kevin,,,,1968,1971
D,PBi,Billon,Pierre,19xx,,Fr,1943,
D,BBi,Bilson,Bruce,,,Am,1979,
D,MBi,Binder,Mike,19xx,,Ct,1993,
D,PaB,Birch,Patricia,,,Am,1982,
D,AtB,Bird,Antonia,,,Br,1998,
D,RuB,Birdwell,Russell,19xx,,Ct,1957,
D,ABi,Birkin,Andrew,,,,1988,1994
P,,Bischoff,Samuel,1890,1975,Am,1936,
C,,Bitzer,G.W.,,,,1908,1931
D,EdB,Black,Edward,,,,1938,
D,NoB,Black,Noel,,,,1968,1983
D,RBl,Blackburn,Richard,19xx,,Ct,1974,
D,ISB,Blackton,J.Stuart,19xx,,Am,1910,
C,CBl,Blackwood,Christan,1942,1992,Ge,1961,1992
D,LeB,Blair,Les,19xx,,Ct,1993,
D,BKB,Blake,Ben K.,,,Ct,1938,
A,MBl,Blanc,Michel,,,Fr,1985,
D,HBl,Blanche,Herbert,,,Ct,1920,
P,,Blanke,Henry,,,Am,1936,1960
D,JBk,Blanks,Jamie,,,Ct,1998,
D,ABl,Blasetti,Alessandro,,,It,1955,
D,EAB,Blatt,Edward A.,,,,1945,
D,JfB,Bleckner,Jeff,,,Ct,1998,
A,BnB,Blier,Bernard,1916,,Fr,1967,
D,BtB,Blier,Bertrand,1939,,Fr,1962,1978
D,ByB,Bliss,Barry,,,Br,1983,
B,,Bloch,Robert,1918,1994,Am,1969,1971
D,DgB,Block,Doug,19xx,19yy,Ct,1999,
D,AuB,Blom,August,,,Da,1911,
D,JeB,Bloom,Jeffrey,,,Am,1981,
D,GBl,Bloomfield,George,,,Am,1972,1980
V,DBl,Bluth,Don,,,Am,1986,1994
A,IGB,Blystone,John G.,1892,1938,Am,1925,1938
A,HtB,Bochner,Hart,19xx,,Ct,1994,
D,SBo,Bodrov,Sergeitd>,199x,,,1997,
D,BBo,Boetticher,Oscar,1916,2001,Am,1944,1969
P,,Bogart,Humphrey DeForest,1899,1957,Am,,
D,PlB,Bogart,Paul,1919,,Am,1968,1975
D,YuB,Bogayevicz,Yurek,19xx,,Ct,1993,
D,PBo,Bogdanovich,Peter,1939,,Am,1968,1981
P,,Benedict,Bogeaus,,,Am,1952,1954
D,WBo,Bogner,Willy,,,Ge,1980,
D,JBo,Boivin,Jerome,19xx,,Fr,1993,
D,RyB,Srzednick,Ryszart Boleslaw,1889,1937,Ru,1917,1937
D,MBn,Bolognini,Mauro,,,Ct,1974,
D,GzB,Bolvary,Geza,,,Ct,1928,
D,CrB,Bolotin,Craig,19xx,,Ct,1992,
A,SB,Bondartchuk,Sergei,1920,,Ru,1959,1982
D,MBo,Bonnard,Mario,,,Ct,1960,
D,IBo,Boorman,John,1933,,Br,1965,1981
D,ABo,Borman,Arthur,19xx,,Am,1993,
D,WRB,Booth,G.R.,,,Br,1901,
W,WBz,Borowczyck,Walerian,1923,,,1967,1981
D,PB,Borsos,Phillip,,,Ca,1983,1994
D,FB,Borzage,Frank,1893,1962,Am,1920,1959
W,IBt,Boulting,John,1913,1985,Br,1937,1979
W,RBt,Boulting,Roy,1913,,Br,1944,1979
D,HBo,Bouzagio,Haim,,,Is,1988,
D,SBg,Bourgignon,Serge,,199x,,1969,
D,JrB,Bowen,Jerry,19xx,,Ct,1988,
D,GBo,Bowers,George,,,Am,1980,1983
P,,Box,Betty E.,1920,,Br,1948,1974
W,MuB,Box,Muriel,1905,,Br,1952,1964
W,,Box,Sidney,1907,1983,Br,1946,1955
D,DBd,Boyd,Don,,,,1981,
D,DlB,Boyd,Daniel,,,Am,1990,
D,DBo,Boyle,Danny,,199x,GB,1996,
D,JBd,Boyd,Julianne,,,,1985,
D,BBz,Bozetto,Brono,,,It,1990,
D,ChB,Brabin,Charles,1883,1957,Br,1918,1934
W,,Brackett,Charles,,,Am,1939,1959
W,,Brackett,Leigh,,,Am,1945,
D,RNB,Bradbury,Robert N.,,,Am,1922,1953
w,,Bradbury,Ray,1920,,Am,1956,
D,DBy,Bradley,David,1919,,Am,1941,1964
P,,Brady,William A.,,,Am,,
D,AB,Bragaglia,Anton Giulio,,,Fr,1916,
D,CLB,Bragaglia,Carlo Ludovico,,,It,1950,
D,IB,Brahm,Hans,1893,1982,Ge,1930,1967
D,MBb,Brambilla,Marco,19xx,,Ct,1993,1997
A,KBr,Branagh,Kenneth,1960,,Ir,1989,1996
D,KaB,Brandauer,Karin,1945,,Ge,1990,
A,MBd,Brando,Marlon,,,Am,1961,
D,FBr,Brannon,Fred,,,Am,1949,1952
D,MlB,Brault,Michel,,,Fr,1980,
D,TBs,Brass,Tinto,,,It,1940,1989
B,,Brecht,Bertolt,1898,1956,,1932,
D,EmB,Breer,Emily,19xx,,Am,1991,
P,,Bergman,Martin,,,,1980,1992
P,,Bregman,Michael B.,19xx,,Am,1983,
A,CaB,Breillat,Catherine,1948,,Fr,1989,1999
D,TBr,Brelis,Tia,19xx,,Ct,1994,
D,HBn,Brenon,Herbert,1880,1958,Ir,1913,1931
D,RtB,Bresson,Robert,1901,1999,Fr,1943,1983
D,MBr,Brest,Martin,,,Ct,1979,1988
D,HoB,Bretherton,Howard,1896,1969,Am,1927,1950
W,,Breuer,Lee,,,Am,1985,
D,JuB,Bricken,Jules,,,,1956,1957
P,,Broccoli,Albert R.,1909,1996,Am,1954,
W,MBm,Brickman,Marshall,1941,199x,,1980,
W,PBm,Brickman,Paul,1949,199x,Am,1983,1989
W,JaB,Bridges,James,1928,,Am,1970,1989
D,GuB,Brignone,Guido,19xx,,It,1926,
W,SvB,Brill,Steven,19xx,,Ct,1995,
D,JCB,Brisseau,Jean-Claude,,,Fr,1992,
D,HMB,Brode,Henrijk M.,,,,1989,
D,KvB,Brodie,Kevin,19xx,19yy,Ct,1999,
D,PeB,Brook,Sir Peter,1925,,Am,1952,1970
A,ABr,Brooks,Albert,,,Am,1985,
D,BBr,Brooks,Bob,,,Am,1980,
W,JBr,Brooks,Joseph,,,Am,1977,
W,JLB,Brooks,James L.,1941,,Am,1983,
W,MB,Kaminsky,Melvin,1926,,Am,1969,
B,RcB,Brooks,Richard,1912,1992,Am,1950,1982
D,NBr,Broomfield,Nick,,,,1991,1998
D,EBr,Bross,Eric,,,Ct,1998,
D,BaB,Brown,Barry,,,,1979,
W,BBw,Brown,Bruce,,,,1966,1994
D,CBw,Brown,Clarence,1890,,Am,1920,1951
P,,Brown,David,,,Am,1969,1990
D,JBw,Brown,James,,,Am,1965,
D,KBw,Browning,Kirk,,,Am,1985,
D,TB,Browning,Tod,1882,,Am,1918,1939
W,CBm,Bruckman,Clyde,1895,1955,Am,1927,1935
P,id,Bruckheimer,Jerry,,199x,AM,1997,
D,AdB,Brunel,Adrian,1892,1958,Br,1921,1940
D,BBy,Bryant,Bruce,,,,1980,
D,CBy,Bryant,Charles,,,,1922,
B,,Buchan,John,1875,1940,Br,,
D,LBn,Buchanan,Larry,,,,1966,1981
D,DBu,Buchowetzski,Dimitri,,,,1924,
D,FBu,Buck,Frank,1888,1950,Am,1932,1942
D,ABz,Buckhantz,Alan,,,Am,1983,
D,CBu,Bucksey,Colin,,,,1988,1990
D,NBu,Buckner,Noel,,,Am,1984,
D,HBu,Bucquet,Harold S.,1891,1946,Br,1939,1945
D,RzB,Bugajski,Ryszard,,,Po,1982,
P,LBu,Bunin,Louis,,,Fr,1951,
W,LB,Bu nuel,Luis,1900,1983,Fr,1928,1977
D,MBu,Buntzman,Mark,,,Am,1984,
D,StB,Burge,Stuart,1918,,Br,1960,1970
D,MnB,Burke,Martyn,,,,1981,
C,,Burks,Robert,1910,1968,Am,1944,1967
W,CBt,Burnett,Charles,,,Am,1977,1997
W,ABu,Burns,Allan,,,Am,1986,
A,EBu,Burns,Ed,1968,,Am,1995,
D,KBu,Burns,Ken,1954,,Am,1974,1997
D,TBu,Burstall,Tim,,,,1981,
D,NtB,Burstein,Nanette,,,Ct>,1999,
D,DBr,Burton,David,,,,1934,1940
D,TiB,Burton,Tim,1959,,Am,1985,1997
W,,Busch,Niven,1903,1991,Am,1934,1956
A,SBu,Buscemi,Steve,1958,,Am,1996,
D,WHB,Busnell,William H.,,,Am,1989,
A,DaB,Butler,David,1894,1979,Am,1927,1967
D,GeB,Butler,George,,,,1976,1989
D,RBu,Butler,Robert,,,,1978,1984
A,EBz,Buzzell,Edward,1897,,Am,1932,1961
D,IBy,Byrum,John,,,,1980,1984
A,JsC,Caan,James,,,Am,1980,
D,CCb,Cabanne,Christy,,,Ct,1940,
D,MCy,Cacoyannis,Michael,1922,,Gr,1953,1976
D,ACf,Cadiff,Andy,19xx,199x,Ct,1997,
D,ELC,Cahn,Edward L.,1899,1963,Am,1931,1963
M,,Cahn,Sammy,1913,1992,Am,1940,1963
B,,Cain,James M.,1892,,Ct,1933,1968
W,SCz,Caiozzi,Silvio,19xx,,,1990,
D,SCa,Callow,Simon,,,Am,1991,
D,xCm,Camerini,Mario,,,It,1933,
V,JCm,Cameron,James,1955,,Ca,1978,1994
D,KCm,Cameron,Ken,,,Ct,1992,
D,DCa,Cammell,Donald,,,Am,1969,1977
D,JCp,Camp,Joe,,,Am,1981,1982
D,JJC,Campanella,Juan J.,,,Ct,1998,
D,PFC,Campanile,Pasquale Festa,,,It,1970,1971
D,CoC,Campbell,Colin,,,Am,1914,
D,MtC,Campbell,Martin,,,Am,1994,1998
D,JCi,Campion,Jane,,,Au,1984,1993
D,MCm,Camus,Marcel,1912,1982,Fr,1958,
D,DCn,Cannon,Danny,,1980,,1995,1998
D,FC,Capra,Frank Chico,1897,1991,It,1926,
D,ACp,Capuano,Antonio,19xx,,It,1991,
D,LCa,Carax,Leos,,,Fr,1985,
D,ECa,Fox,Jay,1883,1940,Am,1915,1934
C,JCa,Cardiff,Jack,1914,,Br,1958,1976
D,RCj,Cardona,Rene jr.,,,Ct,1977,1980
D,ICd,Cardos,John,,,,1979,
D,AnC,Cardoza,Anthony,,,,1979,
D,HCn,Carlsen,Henning,,,Sw,1992,
W,CCa,Carlei,Carlo,19xx,,It,1993,1995
D,LIC,Carlino,Lewis John,,,Am,1976,1983
D,MC,Carne,Marcel,1903,,Fr,1936,1971
D,GGC,Caron,Glenn Gordon,19xx,,Ct,1994,
D,IBC,Caros,John Bud,19xx,,Ct,1992,
D,HCa,Carow,Heiner,,,,1989,
D,ICa,Carpenter,John,,,,1974,1998
D,HoC,Carr,Howard,,,Am,1953,
D,SCr,Carr,Steve,,,Am,2000,
P,LuC,Carra,Lucille,,,Ct,1992,
D,MlC,Carreras,Michael,,,Ct,1966,
W,,Carriere,Jean-Claude,1931,,Fr,1962,1982
D,IPC,Keys,John Paddy,1912,1970,Br,1939,1961
D,CrC,Carter,Chris,,,Am,1998,
D,PeC,Carter,Peter,,,Am,1984,
D,ThC,Carter,Thomas,,,Am,1970,1993
D,HPC,Carver,H.P.,,,Am,1930,
D,StC,Carver,Steve,,,,1974,
A,ICs,Cassavetes,John,1929,1989,Am,1961,1983
D,NCs,Cassavetes,Nick,19xx,1980,Am,1997,
D,MCs,Caserini,Mario,19xx,,It,1913,
D,HyC,Cass,Henry,19xx,199x,Br,1950,
D,AxC,Cassini,Alexander,,,Am,1991,
W,EGC,Castellani,Enzo Girolami,,199x,It,1970,1994
W,ReC,Castellani,Renato,1913,,It,1941,1972
D,xCa,Castellvi,gn,,,Sp,1940,
D,NiC,Castle,Nick,,,Am,1984,1993
A,WiC,Castle,William,,,Am,1943,1968
D,GiC,Cates,Gilbert,,,Am,1968,1980
D,MCJ,Caton-Jones,Michael,,,Br,1989,1995
D,PCa,Cattaneo,Peter,,199x,,1997,
D,MCa,Caulfield,Michael,,,Am,1982,
D,ACa,Cavalcanti,Alberto,1897,1982,Bz,1926,1962
W,ACv,Cavalier,Alain,,,Fr,1986,
D,ACy,Cayatte,Andre,1909,,Fr,1949,1970
D,NAC,Cerf,Norman A.,,,Ct,1956,
W,ClC,Chabrol,Claude,1930,,Fr,1958,1983
D,GuC,Chadha,Gurinder,19xx,,Ct,1994,
D,DCh,Chaffey,Don,,,Am,1963,
D,YCh,Chahine,Youssef,,,,1958,1973
D,GCh,Champion,Gregg,,,Am,1983,
A,JCh,Chan,Jackie,,,HK,1982,1986
D,PtC,Chan,Peter Ho-Sun,,,HK,1997,
A,TCn,Chan,Tony,,,Ct,1993,
A,CC,Chaplin,Sir Charles,1889,1977,Br,1914,1966
D,MCp,Chapman,Michael,,,Am,1979,
D,MCh,Chapman,Michael,,,Am,1983,1984
W,JCe,Chappelle,Joe,19xx,,Ct,1994,
P,,Chartoff,Robert,,,Am,1979,1989
D,RiC,Chase,Richard,,,Am,1983,
D,DbC,Chasnoff,Debra,19xx,,Am,1990,
D,EtC,Chatiliez,Etienne,,,Fr,1987,1990
D,EmC,Chautard,Emile,,,Fr,1919,
