pname,pcodes/pcode/0,did,yearstart,yeardirstart,yearend,familynm,givennm,dob,dod,background/0,notes/0/ref/0,pcodes/pcode/1,pcodes/pcode/2,rels/0/workedwith/0/colleague/0/name/0,notes/0,notes/0/type/0,notes/0/mainly,pcodes/pcode/3,notes/0/ref/1,notes/0/ref/2,notes/1,error,background/0/bgnote,background/0/__text,rels/0/marriedto/spouse/0/name/0,rels/0/workedwith/0/colleague/0/co-is/0,rels/0/workedwith/0/colleague/0/on,GeF,notes/0/textmore,rels/0/studios/studio/0,pcodes/also/0,notes/0/also/0,pcodes,rels/0/influencedby/0/mentor/0/name/0,rels/0/influencedby/0/mentor/0/co-is/0,rels/0/influencedby/0/mentor/0/in-is,rels/0/founder/0,Gdf,rels/0/marriedto/spouse/0/sp-is/0,rels/0/childof/parentis/0/name/0,rels/0/founder/1,rels/0/studios/studio/1,rels/0/studios/studio/2,rels/0/studios/studio/3,rels/0/studios/studio/4,rels/0/parent/child-is/0/name/0,rels/0/workedwith/0/colleague/0/name/1,rels/0/family/fm/name/0,rels/0/family/fm/fmtype,rels/0/family/fm/fmrel,alias/0,background/1,rels/0/marriedto/spouse/1/name/0,rels/0/siblings/sibling/name/0,rels/0,notes/0/fact,rels/0/influenced/affected/0/name/0,rels/0/influenced/affected/0/co-is/0,rels/0/influenced/affected/0/af-is/0,rels/0/livedwith/lover/0/name/0,rels/0/siblings/sibling/saf-is/0,rels/0/siblings/sibling/saf-is/1,rels/0/marriedto/sp-is/0,rels/0/childof/parentis/0/pa-is,rels/0/marriedto/spouse/0,rels/0/marriedto/spouse/2,notes/0/livedwith/lover/0/name/0,rels/0/parent/child-is/0/ch-is,rels/0/workedwith/0/colleague/0/name/2,rels/0/marriedto/spouse/1/sp-is/0,alias/1,rels/0/marriedto/spouse/1,rels/0/studios/studio/5,rels/0/studios/studio/6,notes/0/livedwith/lover/0/lv-is/0,notes/0/livedwith/lover/0/lv-is/1,rels/0/parent/child-is/0/name/1,rels/0/relnote,rels/0/parent/child-is/0/chnote,rels/0/childof/parentis/1/name/0,rels/0/childof/parentis/1/pa-is,rels/0/marriedto/spouse/0/sp-is/1,pcodes/pcode/4,awards/aw/0/awtype,awards/aw/0/awdet,awards/aw/0/awyear,awards/aw/1/awtype,awards/aw/1/awf,rels/0/parent/child-is/1/name/0,rels/0/parent/child-is/1/ch-is,notes/0/GeF,rels/1/workedwith/0/colleague/0/name/0,notes/0/awards/aw/0/awtype,notes/0/alias/0,awards/aw/0/awnote,rels/0/influenced/__text,notes/0/type/1,awards/aw/0/awf,rels/0/workedwith/0/colleague/0/name/3,rels/0/workedwith/0/colleague/0/name/4,rels/0/studios/studio/0/styear,rels/0/studios/studio/0/__text,rels/0/studios/studio/1/styear,rels/0/studios/studio/1/__text,rels/0/studios/studio/2/styear,rels/0/studios/studio/2/__text,rels/0/workedwith/0/colleague/0/co-is/1,rels/0/workedwith/0/colleague/0/during,rels/0/family/fmtype,rels/0/family/fmrel,rels/0/workedwith/1/colleague/0/name/0,rels/0/livedwith/lover/0/name/1,rels/0/marriedto/spouse/3/name/0,rels/0/marriedto/spouse/4,rels/0/influenced/affected/0/name/1,rels/0/influenced/affected/0/af-is/1,rels/0/influenced/affected/0/colleague/0,rels/0/livedwith/lover/0/lv-is/0,rels/0/marriedto/spouse/0/name/1,notes/0/also/1,rels/0/parent/child-is/0,rels/0/influencedby/0/mentor/1/name/0,rels/0/influencedby/0/mentor/1/in-is,rels/0/founder/0/fnyear,rels/0/founder/0/__text,rels/0/founder/1/fnyear,rels/0/founder/1/__text,rels/1/studios/studio/0,rels/1/studios/studio/1,notes/0/child,notes/1/ref/0,notes/1/ref/1,rels/0/influenced/affected/1/name/0,rels/0/influenced/affected/1/af-is/0,rels/0/influenced/affected/2/name/0,rels/0/influenced/affected/2/af-is/0,rels/0/influenced/affected/3/name/0,rels/0/influenced/affected/3/af-is/0,rels/0/influenced/affected/4/name/0,rels/0/influenced/affected/4/af-is/0,rels/0/influenced/affected/5/name/0,rels/0/influenced/affected/5/af-is/0,rels/0/influenced/affected/6/name/0,rels/0/influenced/affected/6/af-is/0,rels/0/influenced/affected/7/name/0,rels/0/influenced/affected/7/af-is/0,rels/0/workedwith/0/colleague/1/name/0,rels/0/workedwith/0/colleague/1/co-is/0,rels/0/workedwith/0/colleague/2/name/0,rels/0/workedwith/0/colleague/2/co-is/0,rels/1/parent/child-is/0/name/0,rels/1/parent/child-is/0/ch-is,awards/aw/1,awards/awyear,rels/0/siblings/sibling/name/0/sibtype,rels/0/siblings/sibling/name/0/__text,rels/0/childof/parentis/0/name/0/pa-is,rels/0/childof/parentis/0/name/0/__text,rels/0/studios/studio/0/strole,rels/0/marriedto/spouse/2/name/0,rels/0/marriedto/spouse/3,awards/aw/1/awdet,awards/aw/1/awyear,rels/0/marriedto/spouse/2/sp-is/0,rels/0/marriedto/spouse/3/sp-is/0,rels/0/marriedto/spouse/4/name/0,rels/0/family/fm/me-is,rels/0/workedwith/0/colleague/3/name/0,rels/0/workedwith/0/colleague/3/co-is/0,rels/0/workedwith/0/colleague/4/name/0,rels/0/workedwith/0/colleague/4/co-is/0,rels/0/workedwith/0/co-is/0,rels/1/marriedto/spouse/0/name/0,rels/1/marriedto/spouse/1,rels/1/marriedto/spouse/2,pcodes/pcode/5,notes/0/href/A/_HREF,notes/0/href/A/__text,notes/0/livedwith/lover/0,notes/0/livedwith/lover/1/name/0,awards/aw/0/awardnote,rels/0/marriedto/spouse/4/sp-is/0,rels/0/influencedby/1/mentor/0/name/0,rels/0/influencedby/1/mentor/0/co-is/0,rels/0/influencedby/1/mentor/0/in-is,rels/0/siblings/sibling/name/0/parent/child-is/0/name/0
Ken~Adam,V,,1947,,1993,Adam,Ken,1921,\Un,\Ge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,D,AAd,2002,,,Adams,Andrew,,\Un,\Am,,,,,,Cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamson,D,AlA,,1969,1983,Adamson,Al,,\Un,\Am,![1],P,,,,,,,,,,,,,Regina Carrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addis,D,JuA,,1955,1957,Addis,Justus,,,,![1],,,Hitchcock,,,,,,,,,,,,D,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler,D,GAe,,1996,,Adler,Gilber,,\Un,\Ct,,,,,,,,,,,,gn(Gilber),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Adler,D,CAd,,1998,,Adler,Carine,,\Un,\Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adlon,D,PAd,,1981,1994,Adlon,Percy,,\Un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolfi,A,IGA,,1915,1933,Adolfi,John G.,1888,1933,\Am,![1],D,,George Arless,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adomenaite,D,NyA,,1991,,Adomenaite,Niyole,19xx,\Un,\Ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afredson,D,DAf,,1993,,Afredson,Daniel,19xx,\Un,\Sw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aghion,D,GAg,,1999,,Aghion,Gabriel,DoB,DoD,\Fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguirre,D,MoA,,1991,,Aguirre,Monte,19xx,\Un,\Ct,,,,,,Docu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred~Ahern,P,,,,,Ahern,Fred,,,\Br,![1],,,Hitchcock,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akerman,D,CAm,,1969,1993,Akerman,Chantal,19xx,\Un,\Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkad,D,MAk,,1976,,Akkad,Mustapha,,\Un,,![1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alardice,W,,,,,Allardice,James,,\Un,\Am,,,,Hitchcock 1955-1965,,counterpoint introduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alda,A,AAl,,1979,1986,Alda,Alan,1936,\Un,\Am,,W,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldrich,D,RoA,,1953,1981,Aldrich,Robert,1918,1983,\Am,,P,,,,,,,,,,,,,,,,,P for his films after 1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alea,D,TGA,,1964,1968,Alea,Tomas Gutierrez,1927,1996,\Cu,,,,,,,,,,,,,,,Mirta Ibarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandrini,D,GoA,,1942,,Alessandrini,Goffredo,,\Un,\It,![1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,W,JAx,,1992,,Alexander,Jourdon,19xx,\Un,\Ct,,P,D,,,Porn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandrov,D,GAv,,1934,,Alexandrov,Grigori,19xx,19xx,\Ru,,,,,,Musc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algar,D,JAl,,1954,1999,Algar,James,19xx,\Un,\Am,,,,,,Docu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliwalas,W,FcA,,1997,,Aliwalas,Francisco,1965,199x,,,D,A,,,,,,,,,,Phillipines,\Ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algrant,W,DAl,,1994,,Algrant,Dan,19xx,\Un,\Ct,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
